,lat,long,async_cluster,async_congest_cluster
1,30.550045,-97.861763,1,788
2,30.595955,-97.873341,1606,404
3,30.537706,-97.842574,993,687
4,30.531993,-97.967226,653,1665
5,30.49655,-97.901257,1836,1210
6,30.460701,-97.882086,1916,278
7,30.498174,-97.827879,495,586
8,30.434403,-98.083907,1459,1628
9,30.488843,-98.053644,653,1559
10,30.405429,-97.968645,1878,978
11,30.367501,-98.056627,1492,55
12,30.421566,-97.941993,986,81
13,30.416288,-97.888347,1992,1292
14,30.449261,-97.839977,242,278
15,30.398674,-97.83899,205,1379
16,30.33372,-98.076591,73,234
17,30.320471,-97.972406,412,1865
18,30.349621,-98.009337,110,1108
19,30.367501,-97.984566,1996,982
20,30.382464,-97.926677,247,1514
21,30.351176,-97.937276,906,589
22,30.373525,-97.86814,1488,295
23,30.374974,-97.834683,273,903
24,30.351794,-97.845706,391,295
25,30.221922,-97.974997,223,124
26,30.292875,-97.964299,276,604
27,30.32358,-97.939978,680,808
28,30.343668,-97.905759,266,1876
29,30.321831,-97.89921,1912,1548
30,30.653697,-97.705243,803,1023
31,30.344763,-97.869942,994,535
32,30.332143,-97.858595,1912,1548
33,30.318718,-97.841425,1906,574
34,30.30131,-97.832125,1365,354
35,30.304379,-97.919182,1867,259
36,30.298805,-97.888816,1057,259
37,30.352597,-97.921387,1408,1876
38,30.308173,-97.871556,818,1681
39,30.351189,-97.779089,1078,1776
40,30.384802,-97.744053,160,709
41,30.288711,-97.833651,387,1791
42,30.286234,-97.902792,1694,923
43,30.272366,-98.013199,276,529
44,30.286428,-97.879621,743,1974
45,30.267169,-97.899068,1592,155
46,30.287223,-97.86426,743,601
47,30.513457,-97.665825,1574,401
48,30.308846,-97.703502,1505,1345
49,30.286457,-97.843688,387,717
50,30.279555,-97.836009,1414,717
51,30.205053,-97.932402,1759,1363
52,30.273341,-97.873192,1881,1974
53,30.196482,-97.909655,1759,1363
54,30.172804,-97.901713,1195,1980
55,30.260857,-97.851746,1881,1260
56,30.259205,-97.829376,1531,289
57,30.247459,-97.825581,1531,1295
58,30.235346,-97.819398,1932,66
59,30.25396,-97.895281,1169,1263
60,30.24144,-97.879541,151,1383
61,30.246756,-97.872037,580,155
62,30.245081,-97.858211,580,46
63,30.240247,-97.852166,1939,1260
64,30.267416,-97.928478,1433,1054
65,30.237106,-97.93101,727,1584
66,30.244016,-97.915824,394,1584
67,30.249879,-97.909155,1433,1798
68,30.238308,-97.892018,930,1383
69,30.244942,-97.985156,903,124
70,30.250014,-97.943499,936,994
71,30.209143,-97.954558,532,174
72,30.21593,-97.947086,615,174
73,30.221875,-97.905353,980,117
74,30.210384,-97.884729,230,1820
75,30.222138,-97.883969,980,1010
76,30.22221,-97.928999,528,1584
77,30.230631,-97.858915,1742,1856
78,30.229226,-97.850001,697,1648
79,30.232836,-97.839501,1230,64
80,30.224841,-97.835974,721,1856
81,30.225853,-97.862221,956,484
82,30.217987,-97.865677,956,1503
83,30.220626,-97.849136,721,815
84,30.214768,-97.858294,61,1607
85,30.214574,-97.836175,85,1030
86,30.206238,-97.845563,830,447
87,30.39592,-97.773059,1656,1075
88,30.20472,-97.872225,230,1820
89,30.188692,-97.858353,1209,1699
90,30.194893,-97.937337,238,1567
91,30.209985,-97.920445,1759,1363
92,30.191616,-97.895714,1007,618
93,30.179056,-97.914187,203,1567
94,30.183883,-97.890011,1369,363
95,30.342242,-97.809077,1964,205
96,30.166515,-97.868659,878,1699
97,30.152804,-97.866404,1577,1561
98,30.204417,-97.829257,1589,1995
99,30.188004,-97.841393,762,1995
100,30.17107,-97.842194,464,1094
101,30.164297,-97.854535,799,708
102,30.133666,-97.842915,566,1070
103,30.599148,-97.832171,410,1560
104,30.579994,-97.799189,51,506
105,30.589421,-97.756155,425,389
106,30.614041,-97.692748,1801,1705
107,30.627603,-97.663039,1329,798
108,30.575265,-97.671384,1302,8
109,30.569989,-97.644672,1351,433
110,30.522036,-97.803089,1679,563
111,30.518674,-97.768768,210,1151
112,30.527329,-97.737027,197,1036
113,30.542739,-97.739952,197,1532
114,30.540723,-97.693987,1966,1698
115,30.544608,-97.683218,1866,54
116,30.550837,-97.664092,966,936
117,30.480535,-97.811989,358,1046
118,30.471692,-97.806242,1601,951
119,30.500992,-97.793977,978,1602
120,30.483751,-97.758083,1024,1121
121,30.506262,-97.733466,969,774
122,30.516396,-97.710151,1366,1341
123,30.526432,-97.699474,496,345
124,30.529538,-97.693185,59,1572
125,30.530948,-97.677935,973,1372
126,30.537547,-97.657977,250,1783
127,30.537873,-97.628339,440,1349
128,30.525447,-97.687699,50,287
129,30.522907,-97.674702,667,1683
130,30.527937,-97.660354,1991,417
131,30.514658,-97.684306,603,25
132,30.517125,-97.675414,882,1683
133,30.468471,-97.609093,499,13
134,30.51606,-97.649805,1257,1597
135,30.520364,-97.690696,755,1420
136,30.510451,-97.681971,1977,35
137,30.512392,-97.675429,4,1081
138,30.516269,-97.659832,1574,1496
139,30.477235,-97.748408,1810,1745
140,30.499365,-97.699917,443,837
141,30.506831,-97.681264,1483,1107
142,30.489825,-97.687935,523,1304
143,30.500887,-97.678514,1483,1617
144,30.503811,-97.668835,173,401
145,30.505463,-97.648706,187,916
146,30.512273,-97.621085,1933,1349
147,30.481309,-97.698393,1107,446
148,30.482178,-97.683939,1377,492
149,30.488674,-97.669035,1040,1695
150,30.492029,-97.631009,1552,1344
151,30.454371,-97.816014,1934,1635
152,30.460688,-97.804425,1601,760
153,30.463568,-97.786828,460,1836
154,30.469152,-97.769391,26,227
155,30.465101,-97.734708,279,1660
156,30.473658,-97.703262,241,1818
157,30.460659,-97.68639,433,497
158,30.453786,-97.671883,1387,911
159,30.467254,-97.654187,1636,731
160,30.460126,-97.635163,1542,731
161,30.452107,-97.799555,144,160
162,30.443651,-97.78093,75,1255
163,30.45527,-97.785175,1070,737
164,30.458188,-97.771871,1193,210
165,30.449527,-97.776564,393,840
166,30.452449,-97.763846,1513,157
167,30.453141,-97.704426,441,1529
168,30.446519,-97.76236,633,577
169,30.442063,-97.755978,842,552
170,30.442247,-97.731102,279,337
171,30.43446,-97.712671,254,1187
172,30.444289,-97.681327,322,316
173,30.431584,-97.679807,1865,158
174,30.43806,-97.654831,1684,1338
175,30.429712,-97.632319,1684,937
176,30.446884,-97.613692,1974,189
177,30.412276,-97.756928,1080,1166
178,30.440343,-97.825646,242,325
179,30.433092,-97.812579,1721,1832
180,30.426198,-97.80419,1721,560
181,30.440545,-97.792283,75,314
182,30.430965,-97.790268,1597,555
183,30.432578,-97.745077,616,1174
184,30.419188,-97.836201,242,1900
185,30.409079,-97.806945,836,921
186,30.418049,-97.785683,120,921
187,30.44012,-97.782925,620,1386
188,30.427536,-97.772391,318,1352
189,30.416096,-97.776502,20,56
190,30.421041,-97.757609,1080,56
191,30.422727,-97.734935,594,215
192,30.421209,-97.724833,254,1187
193,30.419626,-97.687169,859,432
194,30.474927,-97.628126,431,1136
195,30.402543,-97.774264,1656,1075
196,30.393165,-97.763188,632,1759
197,30.405087,-97.764003,20,1469
198,30.40121,-97.75365,632,1166
199,30.407812,-97.737938,594,62
200,30.416374,-97.713136,1183,1088
201,30.401368,-97.723123,1378,860
202,30.400383,-97.71107,184,1909
203,30.412333,-97.7016,1754,1401
204,30.406628,-97.684758,306,1135
205,30.396503,-97.676128,575,1135
206,30.402956,-97.652095,121,1857
207,30.385822,-97.629909,681,1348
208,30.398609,-97.616178,1212,1739
209,30.420193,-97.603293,1525,1556
210,30.396551,-97.82942,1595,1379
211,30.271191,-97.642884,1438,222
212,30.395144,-97.78675,836,1075
213,30.393237,-97.800872,505,1881
214,30.391578,-97.752089,668,488
215,30.394219,-97.74096,1375,1753
216,30.38687,-97.738158,1096,1977
217,30.384116,-97.728635,1359,1252
218,30.379353,-97.722328,891,985
219,30.380339,-97.706944,7,1725
220,30.395126,-97.69242,111,1013
221,30.384254,-97.678624,1511,1839
222,30.380068,-97.668098,354,1238
223,30.383394,-97.660601,182,1290
224,30.373993,-97.650303,1598,252
225,30.371901,-97.636824,1715,213
226,30.357638,-97.621547,1056,34
227,30.347504,-97.604697,461,1398
228,30.360871,-97.581717,455,1198
229,30.369183,-97.77245,1239,1770
230,30.383082,-97.754946,170,625
231,30.370937,-97.748874,1869,1219
232,30.372799,-97.738426,984,1987
233,30.368742,-97.732737,1740,1404
234,30.365825,-97.723827,1740,1580
235,30.367008,-97.712527,508,26
236,30.374445,-97.714456,1582,1725
237,30.362717,-97.703016,1391,477
238,30.365978,-97.701017,1342,872
239,30.374479,-97.696226,1342,61
240,30.368666,-97.687912,1250,956
241,30.362402,-97.676517,800,125
242,30.35801,-97.662114,1845,125
243,30.340503,-97.634953,1800,17
244,30.335824,-97.616902,864,701
245,30.3645,-97.740699,781,1059
246,30.361619,-97.735446,99,544
247,30.357612,-97.724918,139,735
248,30.355442,-97.7182,1224,284
249,30.356542,-97.710188,1581,1342
250,30.354451,-97.69626,1501,841
251,30.348438,-97.685483,1400,1939
252,30.338319,-97.690935,1665,1419
253,30.337807,-97.664499,1626,265
254,30.333871,-97.675748,1900,1939
255,30.333513,-97.647877,1626,90
256,30.361286,-97.757804,775,327
257,30.35516,-97.743801,1061,603
258,30.350866,-97.738792,166,1650
259,30.355362,-97.734401,1042,1828
260,30.351559,-97.727219,139,809
261,30.346115,-97.729428,166,1711
262,30.348204,-97.718429,890,1053
263,30.342425,-97.721317,1728,1609
264,30.340669,-97.709102,302,1408
265,30.33247,-97.696583,1374,628
266,30.32667,-97.685099,122,1534
267,30.324017,-97.664095,48,1506
268,30.32257,-97.651571,138,51
269,30.3202,-97.639453,757,199
270,30.325044,-97.617448,1308,600
271,30.327527,-97.57601,1920,1429
272,30.34417,-97.558384,661,1095
273,30.347874,-97.76121,41,1185
274,30.341089,-97.750211,407,977
275,30.34102,-97.742547,805,627
276,30.337612,-97.733307,1536,1703
277,30.334246,-97.725896,1473,904
278,30.328946,-97.720367,785,1535
279,30.329197,-97.711138,997,1082
280,30.324755,-97.698623,1027,973
281,30.308832,-97.854872,743,601
282,30.353876,-97.789916,236,680
283,30.338864,-97.78138,962,792
284,30.333799,-97.76676,1575,1194
285,30.331953,-97.759891,1575,1489
286,30.332227,-97.751829,805,77
287,30.330139,-97.742742,866,917
288,30.330061,-97.735351,498,1656
289,30.325264,-97.730682,1494,411
290,30.320679,-97.720953,533,1382
291,30.316483,-97.711051,34,1393
292,30.318649,-97.702866,94,1822
293,30.316705,-97.693892,765,1495
294,30.316931,-97.684863,1140,108
295,30.307248,-97.690083,1505,938
296,30.316758,-97.672491,572,1176
297,30.310034,-97.680821,780,1547
298,30.300761,-97.67833,1141,6
299,30.303255,-97.666683,1697,1879
300,30.311495,-97.65656,449,1362
301,30.295066,-97.655743,512,1800
302,30.305169,-97.6301,757,199
303,30.28759,-97.640662,1382,1485
304,30.296238,-97.606829,1764,1455
305,30.35485,-97.821754,1751,700
306,30.339491,-97.799011,109,283
307,30.344399,-97.79414,84,310
308,30.334694,-97.786917,1999,968
309,30.330049,-97.804386,731,283
310,30.32969,-97.794461,1012,248
311,30.323452,-97.784862,1999,1999
312,30.322771,-97.790383,847,248
313,30.309286,-97.779878,1973,1999
314,30.319513,-97.773295,945,40
315,30.316399,-97.76201,729,530
316,30.322827,-97.748686,1814,1513
317,30.318928,-97.741563,1044,451
318,30.318134,-97.735161,756,1127
319,30.312636,-97.726851,445,1486
320,30.309394,-97.719694,486,1780
321,30.308606,-97.713911,1549,1588
322,30.291673,-97.694168,1401,92
323,30.289535,-97.685312,1818,1946
324,30.289232,-97.674631,1661,466
325,30.325211,-97.753043,1814,1626
326,30.312346,-97.755063,447,1915
327,30.314377,-97.750453,167,1915
328,30.311422,-97.745119,587,1816
329,30.314075,-97.73437,756,1127
330,30.307788,-97.737685,436,668
331,30.304357,-97.731148,1182,1328
332,30.299796,-97.723839,1182,232
333,30.29537,-97.712677,389,431
334,30.320631,-97.809788,1784,1719
335,30.312617,-97.819504,352,353
336,30.309044,-97.806541,103,1719
337,30.321536,-97.80207,847,1951
338,30.316334,-97.798815,103,1951
339,30.30976,-97.788871,1973,1951
340,30.306907,-97.770739,813,378
341,30.306124,-97.760175,1903,245
342,30.304992,-97.756618,1578,315
343,30.303114,-97.751664,959,1409
344,30.302486,-97.747239,959,698
345,30.299443,-97.742797,747,1354
346,30.29791,-97.735674,985,659
347,30.293084,-97.731181,272,1328
348,30.292608,-97.727363,841,927
349,30.289092,-97.719395,270,1387
350,30.287942,-97.71165,1412,121
351,30.285307,-97.701787,448,121
352,30.297498,-97.777043,1240,1340
353,30.291148,-97.765987,476,250
354,30.296874,-97.762541,1153,1594
355,30.294723,-97.754442,1958,674
356,30.291274,-97.745937,586,1190
357,30.285813,-97.759194,1104,1676
358,30.285682,-97.747977,1146,943
359,30.284903,-97.743151,1176,498
360,30.290562,-97.742966,1176,1963
361,30.291737,-97.738284,1833,355
