,lat,long,cluster
1,30.550045,-97.861763,1715
2,30.595955,-97.873341,1430
3,30.537706,-97.842574,380
4,30.531993,-97.967226,1730
5,30.49655,-97.901257,1323
6,30.460701,-97.882086,865
7,30.498174,-97.827879,1090
8,30.434403,-98.083907,1986
9,30.488843,-98.053644,1369
10,30.405429,-97.968645,578
11,30.367501,-98.056627,1157
12,30.421566,-97.941993,1453
13,30.416288,-97.888347,753
14,30.449261,-97.839977,662
15,30.398674,-97.83899,1735
16,30.33372,-98.076591,1752
17,30.320471,-97.972406,755
18,30.349621,-98.009337,1752
19,30.367501,-97.984566,1259
20,30.382464,-97.926677,1468
21,30.351176,-97.937276,1115
22,30.373525,-97.86814,54
23,30.374974,-97.834683,813
24,30.351794,-97.845706,1596
25,30.221922,-97.974997,455
26,30.292875,-97.964299,1248
27,30.32358,-97.939978,853
28,30.343668,-97.905759,338
29,30.321831,-97.89921,338
30,30.653697,-97.705243,85
31,30.344763,-97.869942,1464
32,30.332143,-97.858595,1464
33,30.318718,-97.841425,788
34,30.30131,-97.832125,1412
35,30.304379,-97.919182,2000
36,30.298805,-97.888816,693
37,30.352597,-97.921387,338
38,30.308173,-97.871556,959
39,30.351189,-97.779089,509
40,30.384802,-97.744053,1287
41,30.288711,-97.833651,1651
42,30.286234,-97.902792,1914
43,30.272366,-98.013199,667
44,30.286428,-97.879621,1603
45,30.267169,-97.899068,1123
46,30.287223,-97.86426,481
47,30.513457,-97.665825,656
48,30.308846,-97.703502,11
49,30.286457,-97.843688,1651
50,30.279555,-97.836009,1651
51,30.205053,-97.932402,823
52,30.273341,-97.873192,943
53,30.196482,-97.909655,1867
54,30.172804,-97.901713,112
55,30.260857,-97.851746,1485
56,30.259205,-97.829376,1637
57,30.247459,-97.825581,1637
58,30.235346,-97.819398,1387
59,30.25396,-97.895281,1510
60,30.24144,-97.879541,354
61,30.246756,-97.872037,1836
62,30.245081,-97.858211,1836
63,30.240247,-97.852166,1637
64,30.267416,-97.928478,564
65,30.237106,-97.93101,476
66,30.244016,-97.915824,246
67,30.249879,-97.909155,1185
68,30.238308,-97.892018,450
69,30.244942,-97.985156,455
