,lat,long,cluster
1,30.550045,-97.861763,1498
2,30.595955,-97.873341,1738
3,30.537706,-97.842574,1566
4,30.531993,-97.967226,1277
5,30.49655,-97.901257,1720
6,30.460701,-97.882086,666
7,30.498174,-97.827879,1673
8,30.434403,-98.083907,1712
9,30.488843,-98.053644,197
10,30.405429,-97.968645,827
11,30.367501,-98.056627,745
12,30.421566,-97.941993,1720
13,30.416288,-97.888347,1657
14,30.449261,-97.839977,666
15,30.398674,-97.83899,131
16,30.33372,-98.076591,634
17,30.320471,-97.972406,133
18,30.349621,-98.009337,1138
19,30.367501,-97.984566,878
20,30.382464,-97.926677,1703
21,30.351176,-97.937276,1703
22,30.373525,-97.86814,1135
23,30.374974,-97.834683,889
24,30.351794,-97.845706,1135
25,30.221922,-97.974997,1347
26,30.292875,-97.964299,1468
27,30.32358,-97.939978,133
28,30.343668,-97.905759,651
29,30.321831,-97.89921,651
30,30.653697,-97.705243,1133
31,30.344763,-97.869942,651
32,30.332143,-97.858595,664
33,30.318718,-97.841425,442
34,30.30131,-97.832125,1694
35,30.304379,-97.919182,73
36,30.298805,-97.888816,234
37,30.352597,-97.921387,969
38,30.308173,-97.871556,1308
39,30.351189,-97.779089,1645
40,30.384802,-97.744053,434
41,30.288711,-97.833651,1501
42,30.286234,-97.902792,1741
43,30.272366,-98.013199,1394
44,30.286428,-97.879621,1664
45,30.267169,-97.899068,158
46,30.287223,-97.86426,252
47,30.513457,-97.665825,780
48,30.308846,-97.703502,604
49,30.286457,-97.843688,1501
50,30.279555,-97.836009,868
51,30.205053,-97.932402,393
52,30.273341,-97.873192,812
53,30.196482,-97.909655,393
54,30.172804,-97.901713,248
55,30.260857,-97.851746,868
56,30.259205,-97.829376,345
57,30.247459,-97.825581,345
58,30.235346,-97.819398,828
59,30.25396,-97.895281,1317
60,30.24144,-97.879541,1295
61,30.246756,-97.872037,586
62,30.245081,-97.858211,866
63,30.240247,-97.852166,529
64,30.267416,-97.928478,86
65,30.237106,-97.93101,1549
66,30.244016,-97.915824,1589
67,30.249879,-97.909155,1317
68,30.238308,-97.892018,139
69,30.244942,-97.985156,659
70,30.250014,-97.943499,1549
71,30.209143,-97.954558,1347
72,30.21593,-97.947086,659
73,30.221875,-97.905353,1087
74,30.210384,-97.884729,1461
75,30.222138,-97.883969,431
76,30.22221,-97.928999,139
77,30.230631,-97.858915,673
78,30.229226,-97.850001,509
79,30.232836,-97.839501,381
80,30.224841,-97.835974,865
81,30.225853,-97.862221,673
82,30.217987,-97.865677,832
83,30.220626,-97.849136,865
84,30.214768,-97.858294,44
85,30.214574,-97.836175,1198
86,30.206238,-97.845563,962
87,30.39592,-97.773059,17
88,30.20472,-97.872225,1461
89,30.188692,-97.858353,1745
90,30.194893,-97.937337,436
91,30.209985,-97.920445,393
92,30.191616,-97.895714,1528
93,30.179056,-97.914187,248
94,30.183883,-97.890011,1528
95,30.342242,-97.809077,607
96,30.166515,-97.868659,1092
97,30.152804,-97.866404,386
98,30.204417,-97.829257,962
99,30.188004,-97.841393,1056
100,30.17107,-97.842194,1092
101,30.164297,-97.854535,1651
102,30.133666,-97.842915,1076
103,30.599148,-97.832171,1705
104,30.579994,-97.799189,762
105,30.589421,-97.756155,1500
106,30.614041,-97.692748,1029
107,30.627603,-97.663039,18
108,30.575265,-97.671384,534
109,30.569989,-97.644672,47
110,30.522036,-97.803089,476
111,30.518674,-97.768768,1660
112,30.527329,-97.737027,58
113,30.542739,-97.739952,553
114,30.540723,-97.693987,161
115,30.544608,-97.683218,1496
116,30.550837,-97.664092,534
117,30.480535,-97.811989,477
118,30.471692,-97.806242,684
119,30.500992,-97.793977,184
120,30.483751,-97.758083,218
121,30.506262,-97.733466,127
122,30.516396,-97.710151,700
123,30.526432,-97.699474,880
124,30.529538,-97.693185,595
125,30.530948,-97.677935,1243
126,30.537547,-97.657977,1140
127,30.537873,-97.628339,617
128,30.525447,-97.687699,1162
129,30.522907,-97.674702,1243
130,30.527937,-97.660354,299
131,30.514658,-97.684306,1162
132,30.517125,-97.675414,1243
133,30.468471,-97.609093,1099
134,30.51606,-97.649805,1358
135,30.520364,-97.690696,663
136,30.510451,-97.681971,848
137,30.512392,-97.675429,1207
138,30.516269,-97.659832,780
139,30.477235,-97.748408,694
140,30.499365,-97.699917,1448
141,30.506831,-97.681264,848
142,30.489825,-97.687935,1593
143,30.500887,-97.678514,1007
144,30.503811,-97.668835,1070
145,30.505463,-97.648706,1070
146,30.512273,-97.621085,617
147,30.481309,-97.698393,630
148,30.482178,-97.683939,710
149,30.488674,-97.669035,135
150,30.492029,-97.631009,1397
151,30.454371,-97.816014,1288
152,30.460688,-97.804425,992
153,30.463568,-97.786828,618
154,30.469152,-97.769391,1023
155,30.465101,-97.734708,481
156,30.473658,-97.703262,633
157,30.460659,-97.68639,764
158,30.453786,-97.671883,758
159,30.467254,-97.654187,1462
160,30.460126,-97.635163,1462
161,30.452107,-97.799555,1721
162,30.443651,-97.78093,735
163,30.45527,-97.785175,91
164,30.458188,-97.771871,91
165,30.449527,-97.776564,473
166,30.452449,-97.763846,1061
167,30.453141,-97.704426,169
168,30.446519,-97.76236,528
169,30.442063,-97.755978,1681
170,30.442247,-97.731102,481
171,30.43446,-97.712671,293
172,30.444289,-97.681327,1349
173,30.431584,-97.679807,414
174,30.43806,-97.654831,105
175,30.429712,-97.632319,401
176,30.446884,-97.613692,106
177,30.412276,-97.756928,980
178,30.440343,-97.825646,435
179,30.433092,-97.812579,168
180,30.426198,-97.80419,898
181,30.440545,-97.792283,1155
182,30.430965,-97.790268,1296
183,30.432578,-97.745077,316
184,30.419188,-97.836201,843
185,30.409079,-97.806945,568
186,30.418049,-97.785683,1296
187,30.44012,-97.782925,706
188,30.427536,-97.772391,1447
189,30.416096,-97.776502,461
190,30.421041,-97.757609,461
191,30.422727,-97.734935,362
192,30.421209,-97.724833,362
193,30.419626,-97.687169,1520
194,30.474927,-97.628126,1649
195,30.402543,-97.774264,1606
196,30.393165,-97.763188,980
197,30.405087,-97.764003,1201
198,30.40121,-97.75365,980
199,30.407812,-97.737938,237
200,30.416374,-97.713136,1139
201,30.401368,-97.723123,271
202,30.400383,-97.71107,187
203,30.412333,-97.7016,1039
204,30.406628,-97.684758,516
205,30.396503,-97.676128,1575
206,30.402956,-97.652095,939
207,30.385822,-97.629909,396
208,30.398609,-97.616178,417
209,30.420193,-97.603293,401
210,30.396551,-97.82942,131
211,30.271191,-97.642884,875
212,30.395144,-97.78675,767
213,30.393237,-97.800872,1375
214,30.391578,-97.752089,610
215,30.394219,-97.74096,367
216,30.38687,-97.738158,1067
217,30.384116,-97.728635,224
218,30.379353,-97.722328,1619
219,30.380339,-97.706944,1237
220,30.395126,-97.69242,187
221,30.384254,-97.678624,574
222,30.380068,-97.668098,506
223,30.383394,-97.660601,506
224,30.373993,-97.650303,1354
225,30.371901,-97.636824,274
226,30.357638,-97.621547,1131
227,30.347504,-97.604697,1621
