id,lat,long,cluster
1,30.550045,-97.861763,60
2,30.595955,-97.873341,122
3,30.537706,-97.842574,666
4,30.531993,-97.967226,687
5,30.49655,-97.901257,44
6,30.460701,-97.882086,44
7,30.498174,-97.827879,199
8,30.434403,-98.083907,67
9,30.488843,-98.053644,687
10,30.405429,-97.968645,687
11,30.367501,-98.056627,728
12,30.421566,-97.941993,314
13,30.416288,-97.888347,314
14,30.449261,-97.839977,104
15,30.398674,-97.83899,516
16,30.33372,-98.076591,646
17,30.320471,-97.972406,250
18,30.349621,-98.009337,662
19,30.367501,-97.984566,662
20,30.382464,-97.926677,314
21,30.351176,-97.937276,662
22,30.373525,-97.86814,388
23,30.374974,-97.834683,82
24,30.351794,-97.845706,82
25,30.221922,-97.974997,291
26,30.292875,-97.964299,250
27,30.32358,-97.939978,250
28,30.343668,-97.905759,648
29,30.321831,-97.89921,660
30,30.653697,-97.705243,336
31,30.344763,-97.869942,648
32,30.332143,-97.858595,660
33,30.318718,-97.841425,449
34,30.30131,-97.832125,263
35,30.304379,-97.919182,309
36,30.298805,-97.888816,449
37,30.352597,-97.921387,474
38,30.308173,-97.871556,449
39,30.351189,-97.779089,258
40,30.384802,-97.744053,654
41,30.288711,-97.833651,10
42,30.286234,-97.902792,679
43,30.272366,-98.013199,250
44,30.286428,-97.879621,679
45,30.267169,-97.899068,679
46,30.287223,-97.86426,263
47,30.513457,-97.665825,691
48,30.308846,-97.703502,164
49,30.286457,-97.843688,319
50,30.279555,-97.836009,10
51,30.205053,-97.932402,408
52,30.273341,-97.873192,679
53,30.196482,-97.909655,408
54,30.172804,-97.901713,408
55,30.260857,-97.851746,319
56,30.259205,-97.829376,319
57,30.247459,-97.825581,327
58,30.235346,-97.819398,268
59,30.25396,-97.895281,12
60,30.24144,-97.879541,12
61,30.246756,-97.872037,507
62,30.245081,-97.858211,507
63,30.240247,-97.852166,319
64,30.267416,-97.928478,309
65,30.237106,-97.93101,387
66,30.244016,-97.915824,317
67,30.249879,-97.909155,309
68,30.238308,-97.892018,317
69,30.244942,-97.985156,589
70,30.250014,-97.943499,589
71,30.209143,-97.954558,387
72,30.21593,-97.947086,387
73,30.221875,-97.905353,259
74,30.210384,-97.884729,242
75,30.222138,-97.883969,259
76,30.22221,-97.928999,317
77,30.230631,-97.858915,351
78,30.229226,-97.850001,61
79,30.232836,-97.839501,551
80,30.224841,-97.835974,61
81,30.225853,-97.862221,351
82,30.217987,-97.865677,351
83,30.220626,-97.849136,351
84,30.214768,-97.858294,351
85,30.214574,-97.836175,61
86,30.206238,-97.845563,550
87,30.39592,-97.773059,747
88,30.20472,-97.872225,242
89,30.188692,-97.858353,61
90,30.194893,-97.937337,291
91,30.209985,-97.920445,242
92,30.191616,-97.895714,408
93,30.179056,-97.914187,408
94,30.183883,-97.890011,408
95,30.342242,-97.809077,82
96,30.166515,-97.868659,721
97,30.152804,-97.866404,542
98,30.204417,-97.829257,550
99,30.188004,-97.841393,550
100,30.17107,-97.842194,617
101,30.164297,-97.854535,721
102,30.133666,-97.842915,542
103,30.599148,-97.832171,367
104,30.579994,-97.799189,608
105,30.589421,-97.756155,608
106,30.614041,-97.692748,643
107,30.627603,-97.663039,151
108,30.575265,-97.671384,232
109,30.569989,-97.644672,31
110,30.522036,-97.803089,587
111,30.518674,-97.768768,265
112,30.527329,-97.737027,370
113,30.542739,-97.739952,299
114,30.540723,-97.693987,578
115,30.544608,-97.683218,189
116,30.550837,-97.664092,189
117,30.480535,-97.811989,260
118,30.471692,-97.806242,518
119,30.500992,-97.793977,424
120,30.483751,-97.758083,363
121,30.506262,-97.733466,370
122,30.516396,-97.710151,131
123,30.526432,-97.699474,299
124,30.529538,-97.693185,299
125,30.530948,-97.677935,229
126,30.537547,-97.657977,517
127,30.537873,-97.628339,429
128,30.525447,-97.687699,204
129,30.522907,-97.674702,468
130,30.527937,-97.660354,517
131,30.514658,-97.684306,204
132,30.517125,-97.675414,64
133,30.468471,-97.609093,479
134,30.51606,-97.649805,691
135,30.520364,-97.690696,652
136,30.510451,-97.681971,204
137,30.512392,-97.675429,64
138,30.516269,-97.659832,691
139,30.477235,-97.748408,363
140,30.499365,-97.699917,131
141,30.506831,-97.681264,686
142,30.489825,-97.687935,730
143,30.500887,-97.678514,686
144,30.503811,-97.668835,165
145,30.505463,-97.648706,165
146,30.512273,-97.621085,429
147,30.481309,-97.698393,730
148,30.482178,-97.683939,276
149,30.488674,-97.669035,686
150,30.492029,-97.631009,577
151,30.454371,-97.816014,260
152,30.460688,-97.804425,52
153,30.463568,-97.786828,174
154,30.469152,-97.769391,174
155,30.465101,-97.734708,253
156,30.473658,-97.703262,13
157,30.460659,-97.68639,78
158,30.453786,-97.671883,549
159,30.467254,-97.654187,113
160,30.460126,-97.635163,113
161,30.452107,-97.799555,544
162,30.443651,-97.78093,492
163,30.45527,-97.785175,174
164,30.458188,-97.771871,174
165,30.449527,-97.776564,23
166,30.452449,-97.763846,23
167,30.453141,-97.704426,414
168,30.446519,-97.76236,23
169,30.442063,-97.755978,496
170,30.442247,-97.731102,253
171,30.43446,-97.712671,523
172,30.444289,-97.681327,247
173,30.431584,-97.679807,247
174,30.43806,-97.654831,584
175,30.429712,-97.632319,215
176,30.446884,-97.613692,157
177,30.412276,-97.756928,586
178,30.440343,-97.825646,104
179,30.433092,-97.812579,627
180,30.426198,-97.80419,544
181,30.440545,-97.792283,492
182,30.430965,-97.790268,168
183,30.432578,-97.745077,523
184,30.419188,-97.836201,516
185,30.409079,-97.806945,377
186,30.418049,-97.785683,621
187,30.44012,-97.782925,406
188,30.427536,-97.772391,168
189,30.416096,-97.776502,168
190,30.421041,-97.757609,99
191,30.422727,-97.734935,440
192,30.421209,-97.724833,523
193,30.419626,-97.687169,676
194,30.474927,-97.628126,479
195,30.402543,-97.774264,747
196,30.393165,-97.763188,290
197,30.405087,-97.764003,290
198,30.40121,-97.75365,633
199,30.407812,-97.737938,292
200,30.416374,-97.713136,519
201,30.401368,-97.723123,386
202,30.400383,-97.71107,709
203,30.412333,-97.7016,311
204,30.406628,-97.684758,466
205,30.396503,-97.676128,466
206,30.402956,-97.652095,582
207,30.385822,-97.629909,239
208,30.398609,-97.616178,524
209,30.420193,-97.603293,704
210,30.396551,-97.82942,388
211,30.271191,-97.642884,714
212,30.395144,-97.78675,377
213,30.393237,-97.800872,539
214,30.391578,-97.752089,371
215,30.394219,-97.74096,292
216,30.38687,-97.738158,545
