,lat,long,cluster
1,30.550045,-97.861763,652
2,30.595955,-97.873341,14
3,30.537706,-97.842574,40
4,30.531993,-97.967226,293
5,30.49655,-97.901257,264
6,30.460701,-97.882086,836
7,30.498174,-97.827879,872
8,30.434403,-98.083907,1028
9,30.488843,-98.053644,307
10,30.405429,-97.968645,406
11,30.367501,-98.056627,396
12,30.421566,-97.941993,152
13,30.416288,-97.888347,1221
14,30.449261,-97.839977,113
15,30.398674,-97.83899,43
16,30.33372,-98.076591,978
17,30.320471,-97.972406,977
18,30.349621,-98.009337,1161
19,30.367501,-97.984566,165
20,30.382464,-97.926677,581
21,30.351176,-97.937276,570
22,30.373525,-97.86814,778
23,30.374974,-97.834683,541
24,30.351794,-97.845706,323
25,30.221922,-97.974997,853
26,30.292875,-97.964299,347
27,30.32358,-97.939978,389
28,30.343668,-97.905759,743
29,30.321831,-97.89921,1027
30,30.653697,-97.705243,1022
31,30.344763,-97.869942,586
32,30.332143,-97.858595,1165
33,30.318718,-97.841425,1088
34,30.30131,-97.832125,133
35,30.304379,-97.919182,543
36,30.298805,-97.888816,1027
37,30.352597,-97.921387,743
38,30.308173,-97.871556,182
39,30.351189,-97.779089,666
40,30.384802,-97.744053,76
41,30.288711,-97.833651,133
42,30.286234,-97.902792,99
43,30.272366,-98.013199,453
44,30.286428,-97.879621,506
45,30.267169,-97.899068,270
46,30.287223,-97.86426,506
47,30.513457,-97.665825,613
48,30.308846,-97.703502,181
49,30.286457,-97.843688,633
50,30.279555,-97.836009,633
51,30.205053,-97.932402,588
52,30.273341,-97.873192,506
53,30.196482,-97.909655,90
54,30.172804,-97.901713,521
55,30.260857,-97.851746,253
56,30.259205,-97.829376,604
57,30.247459,-97.825581,604
58,30.235346,-97.819398,989
59,30.25396,-97.895281,270
60,30.24144,-97.879541,564
61,30.246756,-97.872037,564
62,30.245081,-97.858211,410
63,30.240247,-97.852166,688
64,30.267416,-97.928478,1181
65,30.237106,-97.93101,167
66,30.244016,-97.915824,509
67,30.249879,-97.909155,810
68,30.238308,-97.892018,1085
69,30.244942,-97.985156,853
70,30.250014,-97.943499,683
71,30.209143,-97.954558,440
72,30.21593,-97.947086,440
73,30.221875,-97.905353,1241
74,30.210384,-97.884729,476
75,30.222138,-97.883969,54
76,30.22221,-97.928999,167
77,30.230631,-97.858915,163
78,30.229226,-97.850001,803
79,30.232836,-97.839501,1021
80,30.224841,-97.835974,2
81,30.225853,-97.862221,163
82,30.217987,-97.865677,163
83,30.220626,-97.849136,803
84,30.214768,-97.858294,371
85,30.214574,-97.836175,2
86,30.206238,-97.845563,1013
87,30.39592,-97.773059,461
88,30.20472,-97.872225,784
89,30.188692,-97.858353,266
90,30.194893,-97.937337,756
91,30.209985,-97.920445,588
92,30.191616,-97.895714,708
93,30.179056,-97.914187,90
94,30.183883,-97.890011,708
95,30.342242,-97.809077,445
96,30.166515,-97.868659,259
97,30.152804,-97.866404,1050
98,30.204417,-97.829257,443
99,30.188004,-97.841393,266
100,30.17107,-97.842194,822
101,30.164297,-97.854535,259
102,30.133666,-97.842915,25
103,30.599148,-97.832171,124
104,30.579994,-97.799189,192
105,30.589421,-97.756155,893
106,30.614041,-97.692748,868
107,30.627603,-97.663039,1124
108,30.575265,-97.671384,1126
109,30.569989,-97.644672,701
110,30.522036,-97.803089,359
111,30.518674,-97.768768,296
112,30.527329,-97.737027,1155
113,30.542739,-97.739952,771
114,30.540723,-97.693987,35
115,30.544608,-97.683218,35
116,30.550837,-97.664092,697
117,30.480535,-97.811989,17
118,30.471692,-97.806242,1130
119,30.500992,-97.793977,825
120,30.483751,-97.758083,805
121,30.506262,-97.733466,210
122,30.516396,-97.710151,969
123,30.526432,-97.699474,454
124,30.529538,-97.693185,454
125,30.530948,-97.677935,835
126,30.537547,-97.657977,249
127,30.537873,-97.628339,621
128,30.525447,-97.687699,454
129,30.522907,-97.674702,835
130,30.527937,-97.660354,249
131,30.514658,-97.684306,786
132,30.517125,-97.675414,835
133,30.468471,-97.609093,187
134,30.51606,-97.649805,1199
135,30.520364,-97.690696,454
136,30.510451,-97.681971,474
137,30.512392,-97.675429,474
138,30.516269,-97.659832,613
139,30.477235,-97.748408,199
140,30.499365,-97.699917,123
141,30.506831,-97.681264,1010
142,30.489825,-97.687935,206
143,30.500887,-97.678514,1010
144,30.503811,-97.668835,474
145,30.505463,-97.648706,96
146,30.512273,-97.621085,512
147,30.481309,-97.698393,206
148,30.482178,-97.683939,739
149,30.488674,-97.669035,326
150,30.492029,-97.631009,211
151,30.454371,-97.816014,1149
152,30.460688,-97.804425,1130
153,30.463568,-97.786828,501
154,30.469152,-97.769391,273
155,30.465101,-97.734708,776
156,30.473658,-97.703262,1000
157,30.460659,-97.68639,801
158,30.453786,-97.671883,966
159,30.467254,-97.654187,847
160,30.460126,-97.635163,291
161,30.452107,-97.799555,459
162,30.443651,-97.78093,644
163,30.45527,-97.785175,121
164,30.458188,-97.771871,526
165,30.449527,-97.776564,644
166,30.452449,-97.763846,526
167,30.453141,-97.704426,232
168,30.446519,-97.76236,526
169,30.442063,-97.755978,782
170,30.442247,-97.731102,401
171,30.43446,-97.712671,1228
172,30.444289,-97.681327,1133
173,30.431584,-97.679807,926
174,30.43806,-97.654831,1131
175,30.429712,-97.632319,283
176,30.446884,-97.613692,1239
177,30.412276,-97.756928,622
178,30.440343,-97.825646,113
179,30.433092,-97.812579,1101
180,30.426198,-97.80419,1101
181,30.440545,-97.792283,840
182,30.430965,-97.790268,241
183,30.432578,-97.745077,1
184,30.419188,-97.836201,635
185,30.409079,-97.806945,1247
186,30.418049,-97.785683,1247
187,30.44012,-97.782925,644
188,30.427536,-97.772391,203
189,30.416096,-97.776502,1030
190,30.421041,-97.757609,782
191,30.422727,-97.734935,514
192,30.421209,-97.724833,514
193,30.419626,-97.687169,357
194,30.474927,-97.628126,291
195,30.402543,-97.774264,461
196,30.393165,-97.763188,879
197,30.405087,-97.764003,622
198,30.40121,-97.75365,272
199,30.407812,-97.737938,724
200,30.416374,-97.713136,39
201,30.401368,-97.723123,996
202,30.400383,-97.71107,405
203,30.412333,-97.7016,39
204,30.406628,-97.684758,797
205,30.396503,-97.676128,87
206,30.402956,-97.652095,964
207,30.385822,-97.629909,46
208,30.398609,-97.616178,855
209,30.420193,-97.603293,332
210,30.396551,-97.82942,866
211,30.271191,-97.642884,798
212,30.395144,-97.78675,461
213,30.393237,-97.800872,695
214,30.391578,-97.752089,492
215,30.394219,-97.74096,462
216,30.38687,-97.738158,462
217,30.384116,-97.728635,901
218,30.379353,-97.722328,901
219,30.380339,-97.706944,1070
220,30.395126,-97.69242,465
221,30.384254,-97.678624,913
222,30.380068,-97.668098,377
223,30.383394,-97.660601,839
224,30.373993,-97.650303,1158
225,30.371901,-97.636824,1158
226,30.357638,-97.621547,1211
227,30.347504,-97.604697,606
228,30.360871,-97.581717,367
229,30.369183,-97.77245,789
230,30.383082,-97.754946,879
231,30.370937,-97.748874,1235
232,30.372799,-97.738426,649
233,30.368742,-97.732737,471
234,30.365825,-97.723827,471
235,30.367008,-97.712527,37
236,30.374445,-97.714456,37
237,30.362717,-97.703016,488
238,30.365978,-97.701017,488
239,30.374479,-97.696226,830
240,30.368666,-97.687912,151
241,30.362402,-97.676517,968
242,30.35801,-97.662114,968
243,30.340503,-97.634953,384
244,30.335824,-97.616902,186
245,30.3645,-97.740699,649
246,30.361619,-97.735446,679
247,30.357612,-97.724918,471
248,30.355442,-97.7182,781
249,30.356542,-97.710188,781
250,30.354451,-97.69626,455
251,30.348438,-97.685483,455
252,30.338319,-97.690935,1097
253,30.337807,-97.664499,717
254,30.333871,-97.675748,397
255,30.333513,-97.647877,384
256,30.361286,-97.757804,789
257,30.35516,-97.743801,185
258,30.350866,-97.738792,679
259,30.355362,-97.734401,679
260,30.351559,-97.727219,265
261,30.346115,-97.729428,265
262,30.348204,-97.718429,265
263,30.342425,-97.721317,265
264,30.340669,-97.709102,353
265,30.33247,-97.696583,1097
266,30.32667,-97.685099,329
267,30.324017,-97.664095,120
268,30.32257,-97.651571,61
269,30.3202,-97.639453,565
270,30.325044,-97.617448,1162
271,30.327527,-97.57601,5
272,30.34417,-97.558384,427
273,30.347874,-97.76121,531
274,30.341089,-97.750211,255
275,30.34102,-97.742547,93
276,30.337612,-97.733307,93
277,30.334246,-97.725896,750
278,30.328946,-97.720367,477
279,30.329197,-97.711138,438
280,30.324755,-97.698623,499
281,30.308832,-97.854872,415
282,30.353876,-97.789916,1177
283,30.338864,-97.78138,494
284,30.333799,-97.76676,877
285,30.331953,-97.759891,877
286,30.332227,-97.751829,255
287,30.330139,-97.742742,1076
288,30.330061,-97.735351,1076
289,30.325264,-97.730682,154
290,30.320679,-97.720953,477
291,30.316483,-97.711051,306
292,30.318649,-97.702866,1202
293,30.316705,-97.693892,499
294,30.316931,-97.684863,1037
295,30.307248,-97.690083,366
296,30.316758,-97.672491,936
297,30.310034,-97.680821,1037
298,30.300761,-97.67833,580
299,30.303255,-97.666683,162
300,30.311495,-97.65656,607
301,30.295066,-97.655743,651
302,30.305169,-97.6301,908
303,30.28759,-97.640662,242
304,30.296238,-97.606829,908
305,30.35485,-97.821754,541
306,30.339491,-97.799011,445
307,30.344399,-97.79414,712
308,30.334694,-97.786917,1238
309,30.330049,-97.804386,445
310,30.32969,-97.794461,1238
311,30.323452,-97.784862,1238
312,30.322771,-97.790383,591
313,30.309286,-97.779878,520
314,30.319513,-97.773295,204
315,30.316399,-97.76201,917
316,30.322827,-97.748686,971
317,30.318928,-97.741563,343
318,30.318134,-97.735161,154
319,30.312636,-97.726851,517
320,30.309394,-97.719694,1064
321,30.308606,-97.713911,1064
