,lat,long,cluster
1,30.550045,-97.861763,662
2,30.595955,-97.873341,855
3,30.537706,-97.842574,4
4,30.531993,-97.967226,208
5,30.49655,-97.901257,60
6,30.460701,-97.882086,614
7,30.498174,-97.827879,644
8,30.434403,-98.083907,659
9,30.488843,-98.053644,29
10,30.405429,-97.968645,424
11,30.367501,-98.056627,187
12,30.421566,-97.941993,424
13,30.416288,-97.888347,369
14,30.449261,-97.839977,74
15,30.398674,-97.83899,157
16,30.33372,-98.076591,187
17,30.320471,-97.972406,606
18,30.349621,-98.009337,429
19,30.367501,-97.984566,37
20,30.382464,-97.926677,873
21,30.351176,-97.937276,112
22,30.373525,-97.86814,450
23,30.374974,-97.834683,705
24,30.351794,-97.845706,705
25,30.221922,-97.974997,7
26,30.292875,-97.964299,919
27,30.32358,-97.939978,726
28,30.343668,-97.905759,405
29,30.321831,-97.89921,405
30,30.653697,-97.705243,637
31,30.344763,-97.869942,221
32,30.332143,-97.858595,641
33,30.318718,-97.841425,356
34,30.30131,-97.832125,476
35,30.304379,-97.919182,785
36,30.298805,-97.888816,342
37,30.352597,-97.921387,866
38,30.308173,-97.871556,713
39,30.351189,-97.779089,974
40,30.384802,-97.744053,389
41,30.288711,-97.833651,242
42,30.286234,-97.902792,342
43,30.272366,-98.013199,683
44,30.286428,-97.879621,899
45,30.267169,-97.899068,906
46,30.287223,-97.86426,279
47,30.513457,-97.665825,457
48,30.308846,-97.703502,78
49,30.286457,-97.843688,598
50,30.279555,-97.836009,598
51,30.205053,-97.932402,180
52,30.273341,-97.873192,279
53,30.196482,-97.909655,261
54,30.172804,-97.901713,53
55,30.260857,-97.851746,360
56,30.259205,-97.829376,847
57,30.247459,-97.825581,847
58,30.235346,-97.819398,848
59,30.25396,-97.895281,374
60,30.24144,-97.879541,905
61,30.246756,-97.872037,93
62,30.245081,-97.858211,781
63,30.240247,-97.852166,781
64,30.267416,-97.928478,737
65,30.237106,-97.93101,357
66,30.244016,-97.915824,44
67,30.249879,-97.909155,44
68,30.238308,-97.892018,732
69,30.244942,-97.985156,950
70,30.250014,-97.943499,737
71,30.209143,-97.954558,756
72,30.21593,-97.947086,756
73,30.221875,-97.905353,762
74,30.210384,-97.884729,624
75,30.222138,-97.883969,106
76,30.22221,-97.928999,357
77,30.230631,-97.858915,589
78,30.229226,-97.850001,466
79,30.232836,-97.839501,86
80,30.224841,-97.835974,380
81,30.225853,-97.862221,589
82,30.217987,-97.865677,589
83,30.220626,-97.849136,13
84,30.214768,-97.858294,13
85,30.214574,-97.836175,753
86,30.206238,-97.845563,303
87,30.39592,-97.773059,655
88,30.20472,-97.872225,973
89,30.188692,-97.858353,612
90,30.194893,-97.937337,180
91,30.209985,-97.920445,762
92,30.191616,-97.895714,53
93,30.179056,-97.914187,860
94,30.183883,-97.890011,53
95,30.342242,-97.809077,43
96,30.166515,-97.868659,983
97,30.152804,-97.866404,455
98,30.204417,-97.829257,753
99,30.188004,-97.841393,247
100,30.17107,-97.842194,144
101,30.164297,-97.854535,144
102,30.133666,-97.842915,798
103,30.599148,-97.832171,237
104,30.579994,-97.799189,418
105,30.589421,-97.756155,477
106,30.614041,-97.692748,17
107,30.627603,-97.663039,306
108,30.575265,-97.671384,913
109,30.569989,-97.644672,871
110,30.522036,-97.803089,222
111,30.518674,-97.768768,390
112,30.527329,-97.737027,40
113,30.542739,-97.739952,894
114,30.540723,-97.693987,535
115,30.544608,-97.683218,535
116,30.550837,-97.664092,694
117,30.480535,-97.811989,804
118,30.471692,-97.806242,685
119,30.500992,-97.793977,431
120,30.483751,-97.758083,168
121,30.506262,-97.733466,546
122,30.516396,-97.710151,391
123,30.526432,-97.699474,824
124,30.529538,-97.693185,0
125,30.530948,-97.677935,986
126,30.537547,-97.657977,420
127,30.537873,-97.628339,742
128,30.525447,-97.687699,0
129,30.522907,-97.674702,728
130,30.527937,-97.660354,104
131,30.514658,-97.684306,728
132,30.517125,-97.675414,728
133,30.468471,-97.609093,869
134,30.51606,-97.649805,296
135,30.520364,-97.690696,446
136,30.510451,-97.681971,137
137,30.512392,-97.675429,457
138,30.516269,-97.659832,196
139,30.477235,-97.748408,805
140,30.499365,-97.699917,269
141,30.506831,-97.681264,137
142,30.489825,-97.687935,534
143,30.500887,-97.678514,747
144,30.503811,-97.668835,747
145,30.505463,-97.648706,451
146,30.512273,-97.621085,282
147,30.481309,-97.698393,590
148,30.482178,-97.683939,534
149,30.488674,-97.669035,218
150,30.492029,-97.631009,761
151,30.454371,-97.816014,426
152,30.460688,-97.804425,710
153,30.463568,-97.786828,267
154,30.469152,-97.769391,398
155,30.465101,-97.734708,521
156,30.473658,-97.703262,590
157,30.460659,-97.68639,607
158,30.453786,-97.671883,716
159,30.467254,-97.654187,487
160,30.460126,-97.635163,538
161,30.452107,-97.799555,710
162,30.443651,-97.78093,61
163,30.45527,-97.785175,352
164,30.458188,-97.771871,859
165,30.449527,-97.776564,969
166,30.452449,-97.763846,108
167,30.453141,-97.704426,211
168,30.446519,-97.76236,108
169,30.442063,-97.755978,108
170,30.442247,-97.731102,555
171,30.43446,-97.712671,760
172,30.444289,-97.681327,907
173,30.431584,-97.679807,63
174,30.43806,-97.654831,492
175,30.429712,-97.632319,134
176,30.446884,-97.613692,30
177,30.412276,-97.756928,372
178,30.440343,-97.825646,307
179,30.433092,-97.812579,307
180,30.426198,-97.80419,558
181,30.440545,-97.792283,917
182,30.430965,-97.790268,558
183,30.432578,-97.745077,957
184,30.419188,-97.836201,256
185,30.409079,-97.806945,558
186,30.418049,-97.785683,291
187,30.44012,-97.782925,61
188,30.427536,-97.772391,727
189,30.416096,-97.776502,291
190,30.421041,-97.757609,887
191,30.422727,-97.734935,47
192,30.421209,-97.724833,47
193,30.419626,-97.687169,136
194,30.474927,-97.628126,355
195,30.402543,-97.774264,655
196,30.393165,-97.763188,808
197,30.405087,-97.764003,655
198,30.40121,-97.75365,359
199,30.407812,-97.737938,856
