minute,type,VMT,origin_walk,dest_walk,total_walk
0,Arrival,132326.4,3152.0,3518.4,6670.4
0,Ride,86328.0,4050.8160000000007,3994.848000000001,8045.663999999999
0,Rideshare,131123.52,1626.24,3970.5600000000004,5596.8
1,Arrival,119524.98461538459,3882.8307692307694,4975.384615384616,8858.215384615383
1,Ride,103250.40000000001,2204.4,3022.8,5227.2
1,Rideshare,59107.56923076922,2761.846153846154,3176.123076923077,5937.96923076923
2,Arrival,120297.76000000002,3732.9599999999996,4195.84,7928.8
2,Ride,77510.4,3880.8,3498.0000000000005,7378.800000000001
2,Rideshare,78408.0,6468.0,3603.6,10071.6
3,Arrival,148585.536,3081.408,4361.280000000001,7442.688000000002
3,Ride,158730.00000000003,950.4000000000001,2032.8,2983.2
3,Rideshare,62462.40000000001,2851.2,950.4,3801.6
4,Arrival,154481.4857142857,3117.0857142857135,2332.628571428571,5449.714285714285
4,Ride,123245.76000000001,1826.8799999999999,4403.5199999999995,6230.4
4,Rideshare,78070.08000000003,2745.6,6409.92,9155.52
5,Arrival,142982.40000000002,3292.3354838709674,4666.8387096774195,7959.174193548388
5,Ride,92980.80000000003,3062.3999999999996,3220.8,6283.2
5,Rideshare,142894.40000000002,3308.8000000000006,4452.8,7761.600000000001
6,Arrival,161067.78947368416,4061.431578947368,3736.2947368421055,7797.726315789473
6,Ride,135735.59999999998,7035.6,5979.6,13015.2
6,Rideshare,84955.20000000003,2789.6,2332.0,5121.599999999999
7,Arrival,114869.56799999998,3178.56,5157.504,8336.063999999998
7,Ride,105494.40000000002,1979.9999999999998,2851.2,4831.2
7,Rideshare,158584.80000000005,2587.2,6204.0,8791.199999999999
8,Arrival,179522.4,3600.0,3950.3999999999987,7550.400000000001
8,Ride,110616.0,0.0,0.0,0.0
8,Rideshare,59273.280000000006,4023.3599999999997,2386.56,6409.92
9,Arrival,135299.08965517243,3300.9103448275864,3787.0344827586205,7087.944827586207
9,Ride,133584.0,1518.0,2217.6,3735.6
