minute,type,VMT,origin_walk,dest_walk,total_walk
0,Arrival,76239.28888888887,0,0,0
0,Reallocation,151937.28,0,0,0
0,Ride,66182.688,0,0,0
0,Rideshare,114540.8,0,0,0
1,Arrival,108306.0,0,0,0
1,Reallocation,149767.19999999995,0,0,0
1,Ride,88123.2,0,0,0
1,Rideshare,33290.399999999994,0,0,0
2,Arrival,104656.8,0,0,0
2,Reallocation,120405.11999999997,0,0,0
2,Ride,60020.399999999994,0,0,0
2,Rideshare,23152.800000000003,0,0,0
3,Arrival,52829.70000000001,0,0,0
3,Reallocation,102915.99999999999,0,0,0
3,Ride,115513.19999999998,0,0,0
3,Rideshare,159350.4,0,0,0
4,Arrival,76623.36000000002,0,0,0
4,Reallocation,122892.0,0,0,0
4,Ride,97986.23999999999,0,0,0
4,Rideshare,116582.39999999998,0,0,0
5,Arrival,64960.49999999999,0,0,0
5,Reallocation,98243.20000000001,0,0,0
5,Ride,73101.59999999999,0,0,0
5,Rideshare,24235.2,0,0,0
6,Arrival,69207.6,0,0,0
6,Reallocation,101939.2,0,0,0
6,Ride,95884.80000000002,0,0,0
6,Rideshare,68798.4,0,0,0
7,Arrival,97895.26153846155,0,0,0
7,Reallocation,63368.799999999996,0,0,0
7,Ride,79081.2,0,0,0
7,Rideshare,37540.80000000002,0,0,0
8,Arrival,101417.48571428574,0,0,0
8,Reallocation,106453.59999999999,0,0,0
8,Ride,119380.80000000002,0,0,0
8,Rideshare,93033.59999999999,0,0,0
9,Arrival,101537.33333333334,0,0,0
9,Reallocation,93297.59999999998,0,0,0
9,Ride,111698.4,0,0,0
9,Rideshare,70136.00000000001,0,0,0
10,Arrival,109156.08,0,0,0
10,Reallocation,72969.59999999999,0,0,0
10,Ride,55545.600000000006,0,0,0
10,Rideshare,34320.0,0,0,0
11,Arrival,77612.7,0,0,0
11,Reallocation,122588.39999999998,0,0,0
11,Ride,82755.2,0,0,0
11,Rideshare,69220.79999999999,0,0,0
12,Arrival,102194.39999999998,0,0,0
12,Reallocation,112217.60000000002,0,0,0
12,Ride,106119.2,0,0,0
12,Rideshare,63465.6,0,0,0
