minute,type,VMT,origin_walk,dest_walk,total_walk
0,Arrival,80743.38461538461,77.16923076923078,0.0,77.16923076923078
0,Reallocation,96940.8,0.0,0.0,0.0
0,Ride,66142.56,26.4,13.728,40.128
1,Arrival,63318.93333333335,0.0,55.733333333333334,55.733333333333334
1,Reallocation,91227.84,0.0,0.0,0.0
1,Ride,87978.0,0.0,0.0,0.0
2,Arrival,78587.51999999999,71.28,23.759999999999998,95.03999999999999
2,Reallocation,92822.4,0.0,0.0,0.0
2,Ride,60139.2,0.0,92.4,92.4
3,Arrival,62092.799999999996,58.357894736842105,0.0,58.357894736842105
3,Reallocation,94376.22857142857,0.0,0.0,0.0
3,Ride,115513.19999999998,0.0,0.0,0.0
4,Arrival,69168.0,89.35384615384615,0.0,89.35384615384615
4,Reallocation,91502.40000000002,0.0,0.0,0.0
4,Ride,97986.23999999999,0.0,0.0,0.0
5,Arrival,74448.0,35.2,95.03999999999999,130.24
5,Reallocation,113942.40000000001,0.0,0.0,0.0
5,Ride,73101.59999999999,0.0,0.0,0.0
6,Arrival,72221.08235294119,0.0,0.0,0.0
6,Reallocation,92336.63999999998,0.0,0.0,0.0
6,Ride,95884.80000000002,0.0,0.0,0.0
7,Arrival,85043.20000000001,0.0,24.64,24.64
7,Reallocation,85254.4,0.0,0.0,0.0
7,Ride,79239.6,0.0,171.60000000000002,171.60000000000002
8,Arrival,77369.59999999999,0.0,0.0,0.0
8,Reallocation,86354.40000000001,0.0,0.0,0.0
8,Ride,119380.80000000002,0.0,0.0,0.0
9,Arrival,91591.32631578947,36.126315789473686,0.0,36.126315789473686
9,Reallocation,87711.36,0.0,0.0,0.0
9,Ride,110391.59999999999,0.0,0.0,0.0
10,Arrival,76223.4,56.1,0.0,56.1
10,Reallocation,121519.20000000001,0.0,0.0,0.0
10,Ride,55545.600000000006,0.0,0.0,0.0
11,Arrival,84539.84000000001,112.64,35.2,147.84
11,Reallocation,122993.82857142857,0.0,0.0,0.0
11,Ride,82086.40000000001,0.0,0.0,0.0
12,Arrival,101880.0,0.0,55.2,55.2
12,Reallocation,190101.11999999994,0.0,0.0,0.0
12,Ride,107227.99999999999,0.0,0.0,0.0
13,Arrival,107414.99999999999,72.6,0.0,72.6
13,Reallocation,121827.2,0.0,0.0,0.0
13,Ride,95444.79999999999,457.59999999999997,0.0,457.59999999999997
14,Arrival,105792.34285714288,49.028571428571425,0.0,49.028571428571425
14,Reallocation,106972.79999999997,0.0,0.0,0.0
14,Ride,31785.6,0.0,0.0,0.0
15,Arrival,79953.6,67.2,91.2,158.4
15,Reallocation,118747.20000000001,0.0,0.0,0.0
