minute,type,VMT,origin_walk,dest_walk,total_walk
0,Arrival,137270.39999999997,0,0,0
0,Reallocation,166642.29999999996,0,0,0
0,Ride,86077.728,0,0,0
0,Rideshare,25740.0,0,0,0
1,Arrival,178408.00000000006,0,0,0
1,Reallocation,188289.19999999995,0,0,0
1,Ride,106180.79999999999,0,0,0
1,Rideshare,113751.0,0,0,0
2,Arrival,109589.13103448275,0,0,0
2,Reallocation,175062.6976744186,0,0,0
2,Ride,73669.19999999998,0,0,0
2,Rideshare,91185.6,0,0,0
3,Arrival,134560.8,0,0,0
3,Reallocation,189825.0146341463,0,0,0
3,Ride,158175.60000000003,0,0,0
3,Rideshare,91185.6,0,0,0
4,Arrival,135157.44,0,0,0
4,Reallocation,219340.9777777778,0,0,0
4,Ride,119961.6,0,0,0
4,Rideshare,78091.2,0,0,0
5,Arrival,119214.48000000003,0,0,0
5,Reallocation,166116.21052631576,0,0,0
5,Ride,89733.60000000003,0,0,0
5,Rideshare,278203.2,0,0,0
6,Arrival,102537.59999999999,0,0,0
6,Reallocation,196449.60000000006,0,0,0
6,Ride,135735.59999999998,0,0,0
6,Rideshare,127279.67999999998,0,0,0
7,Arrival,164246.71999999994,0,0,0
7,Reallocation,225069.12,0,0,0
7,Ride,109678.79999999999,0,0,0
7,Rideshare,89352.68571428572,0,0,0
8,Arrival,155531.19999999998,0,0,0
8,Reallocation,187808.58461538455,0,0,0
8,Ride,112200.0,0,0,0
8,Rideshare,125663.99999999997,0,0,0
9,Arrival,124179.73333333334,0,0,0
9,Reallocation,204114.61052631575,0,0,0
9,Ride,124502.40000000001,0,0,0
9,Rideshare,81387.42857142857,0,0,0
10,Arrival,134169.39130434784,0,0,0
10,Reallocation,217278.97358490565,0,0,0
10,Ride,64046.40000000001,0,0,0
10,Rideshare,106256.22857142857,0,0,0
11,Arrival,155983.3846153846,0,0,0
11,Reallocation,214293.64897959185,0,0,0
11,Ride,108310.40000000001,0,0,0
11,Rideshare,116835.84000000004,0,0,0
12,Arrival,163716.96000000002,0,0,0
12,Reallocation,197489.9142857142,0,0,0
12,Ride,128576.80000000003,0,0,0
12,Rideshare,125600.63999999998,0,0,0
13,Arrival,137327.51999999996,0,0,0
13,Reallocation,217899.73333333337,0,0,0
13,Ride,107412.8,0,0,0
13,Rideshare,95660.39999999998,0,0,0
14,Arrival,135242.40000000002,0,0,0
14,Reallocation,209982.6666666666,0,0,0
14,Ride,36960.0,0,0,0
14,Rideshare,142269.6,0,0,0
15,Arrival,110370.3652173913,0,0,0
15,Reallocation,227383.81395348837,0,0,0
15,Ride,145226.40000000002,0,0,0
15,Rideshare,109331.20000000001,0,0,0
16,Arrival,158606.17142857146,0,0,0
16,Reallocation,176694.05217391308,0,0,0
16,Ride,85456.80000000002,0,0,0
16,Rideshare,141908.80000000002,0,0,0
17,Arrival,127214.40000000001,0,0,0
17,Reallocation,180322.05714285708,0,0,0
17,Ride,66035.2,0,0,0
17,Rideshare,73708.80000000002,0,0,0
18,Arrival,145075.2,0,0,0
18,Reallocation,201076.69999999998,0,0,0
18,Ride,65788.80000000002,0,0,0
18,Rideshare,203103.99999999997,0,0,0
19,Arrival,201086.7692307692,0,0,0
19,Reallocation,175657.63018867935,0,0,0
19,Ride,162391.68000000002,0,0,0
19,Rideshare,131117.48571428572,0,0,0
20,Arrival,115373.02857142856,0,0,0
20,Reallocation,199161.60000000003,0,0,0
20,Ride,54024.96000000001,0,0,0
20,Rideshare,133309.44000000003,0,0,0
21,Arrival,139400.12307692308,0,0,0
21,Reallocation,209913.00000000003,0,0,0
21,Ride,82394.4,0,0,0
21,Rideshare,29479.999999999996,0,0,0
22,Arrival,153935.1,0,0,0
22,Reallocation,216247.87924528308,0,0,0
22,Ride,84136.80000000002,0,0,0
22,Rideshare,102577.2,0,0,0
23,Arrival,155798.1333333333,0,0,0
23,Reallocation,183732.52173913046,0,0,0
23,Ride,68191.20000000001,0,0,0
23,Rideshare,129106.55999999998,0,0,0
24,Arrival,167169.39130434784,0,0,0
24,Reallocation,241023.19999999998,0,0,0
24,Ride,75908.8,0,0,0
24,Rideshare,162518.40000000002,0,0,0
25,Arrival,142481.71034482762,0,0,0
25,Reallocation,230054.77647058814,0,0,0
25,Ride,72987.2,0,0,0
25,Rideshare,127474.2857142857,0,0,0
26,Arrival,123981.94285714286,0,0,0
26,Reallocation,205241.4222222222,0,0,0
26,Ride,131049.59999999999,0,0,0
26,Rideshare,136197.60000000003,0,0,0
27,Arrival,152290.52903225805,0,0,0
27,Reallocation,209817.52000000002,0,0,0
27,Ride,129610.80000000002,0,0,0
27,Rideshare,100623.60000000002,0,0,0
28,Arrival,159947.2,0,0,0
28,Reallocation,222846.33191489364,0,0,0
28,Ride,171283.20000000004,0,0,0
28,Rideshare,149758.4,0,0,0
29,Arrival,159295.56923076927,0,0,0
29,Reallocation,203867.54042553197,0,0,0
29,Ride,101640.0,0,0,0
29,Rideshare,146707.73333333328,0,0,0
30,Arrival,130818.28571428571,0,0,0
30,Reallocation,199469.2965517242,0,0,0
30,Ride,154035.20000000004,0,0,0
30,Rideshare,97548.0,0,0,0
31,Arrival,156149.7142857143,0,0,0
31,Reallocation,221188.3384615385,0,0,0
31,Ride,37171.2,0,0,0
31,Rideshare,215867.52000000002,0,0,0
32,Arrival,153095.4857142857,0,0,0
32,Reallocation,233081.0926829268,0,0,0
32,Ride,49209.6,0,0,0
32,Rideshare,100284.8,0,0,0
33,Arrival,158033.03999999998,0,0,0
33,Reallocation,208838.94339622644,0,0,0
33,Ride,118916.16,0,0,0
33,Rideshare,128818.80000000002,0,0,0
34,Arrival,147324.00000000003,0,0,0
34,Reallocation,224557.34399999995,0,0,0
34,Ride,151131.20000000004,0,0,0
34,Rideshare,228492.0,0,0,0
35,Arrival,130725.25714285715,0,0,0
35,Reallocation,233716.70943396227,0,0,0
35,Ride,90974.4,0,0,0
35,Rideshare,104786.87999999998,0,0,0
36,Arrival,133785.88235294115,0,0,0
36,Reallocation,208099.88571428566,0,0,0
36,Ride,91132.79999999999,0,0,0
36,Rideshare,84860.16,0,0,0
37,Arrival,157563.99999999997,0,0,0
37,Reallocation,218896.44255319147,0,0,0
37,Ride,158452.80000000005,0,0,0
37,Rideshare,116503.2,0,0,0
38,Arrival,164519.77142857143,0,0,0
38,Reallocation,224859.23720930232,0,0,0
38,Ride,39019.20000000001,0,0,0
38,Rideshare,147910.4,0,0,0
39,Arrival,196553.86666666664,0,0,0
39,Reallocation,236385.6,0,0,0
39,Ride,115203.73333333334,0,0,0
39,Rideshare,27244.800000000007,0,0,0
40,Arrival,123367.20000000001,0,0,0
40,Reallocation,247071.6734693877,0,0,0
40,Ride,87331.20000000003,0,0,0
40,Rideshare,239254.4,0,0,0
41,Arrival,109188.288,0,0,0
41,Reallocation,231031.2,0,0,0
41,Ride,58977.60000000002,0,0,0
41,Rideshare,132929.27999999997,0,0,0
42,Arrival,124347.10588235296,0,0,0
42,Reallocation,223911.072,0,0,0
42,Ride,132000.00000000006,0,0,0
42,Rideshare,150192.53333333333,0,0,0
43,Arrival,141009.0,0,0,0
43,Reallocation,249023.80800000005,0,0,0
43,Ride,11668.800000000001,0,0,0
43,Rideshare,190977.59999999998,0,0,0
44,Arrival,155047.19999999998,0,0,0
44,Reallocation,262386.5302325581,0,0,0
44,Ride,108750.40000000004,0,0,0
44,Rideshare,154043.99999999997,0,0,0
45,Arrival,166442.496,0,0,0
45,Reallocation,189483.67058823528,0,0,0
45,Ride,115407.59999999995,0,0,0
45,Rideshare,95462.40000000001,0,0,0
46,Arrival,183070.8,0,0,0
46,Reallocation,224015.31428571432,0,0,0
46,Rideshare,117457.37142857144,0,0,0
47,Arrival,143493.59999999998,0,0,0
47,Reallocation,254356.30000000008,0,0,0
47,Ride,180628.8,0,0,0
47,Rideshare,100830.40000000004,0,0,0
48,Arrival,138007.19999999998,0,0,0
48,Reallocation,244441.82400000005,0,0,0
48,Ride,84501.12000000002,0,0,0
48,Rideshare,215740.79999999993,0,0,0
49,Arrival,143763.84000000003,0,0,0
49,Reallocation,205720.11428571425,0,0,0
49,Ride,123921.59999999999,0,0,0
49,Rideshare,117321.60000000003,0,0,0
50,Arrival,155939.52,0,0,0
50,Reallocation,258314.27368421058,0,0,0
50,Ride,142863.59999999998,0,0,0
