minute,type,VMT,origin_walk,dest_walk,total_walk
0,Arrival,157201.98620689654,0,0,0
0,Reallocation,264660.0,0,0,0
0,Ride,86077.728,0,0,0
0,Rideshare,122337.60000000003,0,0,0
1,Arrival,114903.36000000002,0,0,0
1,Reallocation,408337.5999999999,0,0,0
1,Ride,106180.79999999999,0,0,0
1,Rideshare,53201.27999999999,0,0,0
2,Arrival,83193.792,0,0,0
2,Reallocation,294835.2,0,0,0
2,Ride,73669.19999999998,0,0,0
2,Rideshare,112390.07999999996,0,0,0
3,Arrival,135059.8857142857,0,0,0
3,Reallocation,311652.0,0,0,0
3,Ride,158175.60000000003,0,0,0
3,Rideshare,85602.0,0,0,0
4,Arrival,135268.9411764706,0,0,0
4,Reallocation,410076.48,0,0,0
4,Ride,119961.6,0,0,0
4,Rideshare,20829.600000000002,0,0,0
5,Arrival,164853.33333333337,0,0,0
5,Reallocation,356070.0,0,0,0
5,Ride,89733.60000000003,0,0,0
5,Rideshare,67404.48000000001,0,0,0
6,Arrival,109965.31764705878,0,0,0
6,Reallocation,391490.8799999999,0,0,0
6,Ride,135735.59999999998,0,0,0
6,Rideshare,110045.76000000001,0,0,0
7,Arrival,159831.2571428571,0,0,0
7,Reallocation,292811.2000000001,0,0,0
7,Ride,109678.79999999999,0,0,0
7,Rideshare,193899.20000000004,0,0,0
8,Arrival,150018.00000000003,0,0,0
8,Reallocation,229292.80000000005,0,0,0
8,Ride,112200.0,0,0,0
8,Rideshare,82104.0,0,0,0
9,Arrival,170743.88571428575,0,0,0
9,Reallocation,282409.60000000003,0,0,0
9,Ride,124502.40000000001,0,0,0
9,Rideshare,184958.40000000008,0,0,0
10,Arrival,139995.13846153847,0,0,0
10,Reallocation,256819.2,0,0,0
10,Ride,64046.40000000001,0,0,0
10,Rideshare,128075.20000000001,0,0,0
11,Arrival,154961.90769230766,0,0,0
11,Reallocation,380635.20000000007,0,0,0
11,Ride,108310.40000000001,0,0,0
11,Rideshare,53724.0,0,0,0
12,Arrival,149988.73043478263,0,0,0
12,Reallocation,312885.2571428572,0,0,0
12,Ride,128576.80000000003,0,0,0
12,Rideshare,150902.40000000002,0,0,0
13,Arrival,151510.4,0,0,0
13,Reallocation,302566.62857142865,0,0,0
13,Ride,107412.8,0,0,0
13,Rideshare,42187.200000000004,0,0,0
14,Arrival,122654.39999999997,0,0,0
14,Reallocation,250712.0000000001,0,0,0
14,Ride,36960.0,0,0,0
14,Rideshare,221522.4,0,0,0
15,Arrival,126375.8896551724,0,0,0
15,Reallocation,298520.63999999996,0,0,0
15,Ride,145226.40000000002,0,0,0
15,Rideshare,141891.2,0,0,0
