minute,type,VMT,origin_walk,dest_walk,total_walk
0,Arrival,106368.53333333333,60.62222222222221,35.199999999999996,95.82222222222221
0,Reallocation,235928.60689655176,0.0,0.0,0.0
0,Ride,86027.04,36.96,13.728,50.688
0,Rideshare,73946.40000000001,8.799999999999999,158.4,167.20000000000002
1,Arrival,115897.28780487807,48.93658536585366,65.67804878048781,114.61463414634149
1,Reallocation,241825.95555555553,0.0,0.0,0.0
1,Ride,106180.79999999999,0.0,0.0,0.0
1,Rideshare,152824.32,0.0,0.0,0.0
2,Arrival,118304.49230769232,27.076923076923077,39.26153846153846,66.33846153846153
2,Reallocation,216628.49999999997,0.0,0.0,0.0
2,Ride,73748.4,0.0,92.4,92.4
2,Rideshare,86996.80000000002,123.2,0.0,123.2
3,Arrival,151683.3488372093,0.0,0.0,0.0
3,Reallocation,241742.16,0.0,0.0,0.0
3,Ride,158624.40000000005,0.0,0.0,0.0
3,Rideshare,63835.2,0.0,0.0,0.0
4,Arrival,145287.12,69.96,0.0,69.96
4,Reallocation,263908.92,0.0,0.0,0.0
4,Ride,120141.12000000002,0.0,0.0,0.0
4,Rideshare,190977.60000000006,158.4,0.0,158.4
5,Arrival,162481.43999999997,139.04,59.84,198.88
5,Reallocation,248955.10588235292,0.0,0.0,0.0
5,Ride,90367.20000000003,0.0,0.0,0.0
5,Rideshare,21278.4,0.0,0.0,0.0
6,Arrival,135225.60000000006,25.2,46.8,72.0
6,Reallocation,192786.46588235287,0.0,0.0,0.0
6,Ride,135735.59999999998,0.0,0.0,0.0
6,Rideshare,94705.60000000002,0.0,0.0,0.0
7,Arrival,146401.6,59.199999999999996,0.0,59.199999999999996
7,Reallocation,257340.16,0.0,0.0,0.0
7,Ride,110800.79999999999,0.0,198.0,198.0
7,Rideshare,99660.00000000001,0.0,0.0,0.0
8,Arrival,146996.84999999998,33.0,0.0,33.0
8,Reallocation,268780.4307692308,0.0,0.0,0.0
8,Ride,115315.2,0.0,0.0,0.0
9,Arrival,118732.98461538462,52.8,69.04615384615384,121.84615384615384
9,Reallocation,210371.30847457642,0.0,0.0,0.0
9,Ride,126060.0,0.0,0.0,0.0
9,Rideshare,141968.63999999996,0.0,0.0,0.0
10,Arrival,152848.17777777775,25.42222222222222,17.599999999999998,43.02222222222222
10,Reallocation,239268.08888888895,0.0,0.0,0.0
10,Ride,64152.00000000001,0.0,0.0,0.0
10,Rideshare,227515.19999999995,0.0,0.0,0.0
11,Arrival,101720.0516129032,141.36774193548385,39.174193548387095,180.541935483871
11,Reallocation,274063.9578947368,0.0,0.0,0.0
11,Ride,108451.20000000001,0.0,0.0,0.0
11,Rideshare,58660.799999999996,0.0,0.0,0.0
12,Arrival,178295.44615384613,18.276923076923076,0.0,18.276923076923076
12,Reallocation,207370.8521739125,0.0,0.0,0.0
12,Ride,128647.20000000001,0.0,0.0,0.0
12,Rideshare,210711.59999999998,0.0,0.0,0.0
13,Arrival,124372.05,115.50000000000001,14.85,130.35000000000002
13,Reallocation,229151.22352941177,0.0,0.0,0.0
13,Ride,109401.60000000002,457.59999999999997,0.0,457.59999999999997
13,Rideshare,88756.80000000002,686.4,0.0,686.4
14,Arrival,160145.92,38.72,36.96,75.67999999999999
14,Reallocation,292856.1103448276,0.0,0.0,0.0
