minute,vehicles_at_PUDOs,vehicles_enroute,vehicles reallocating,num_rideshares
0,12295.620253164558,165.9493670886076,38.43037974683544,13.468354430379748
1,12069.09677419355,342.61290322580646,88.29032258064517,30.483870967741936
2,12076.366666666667,335.06666666666666,88.56666666666666,29.533333333333335
3,12152.275862068966,276.58620689655174,71.13793103448276,23.275862068965516
4,12167.08,266.48,66.44,22.88
5,12203.176470588236,238.88235294117646,57.94117647058823,19.41176470588235
6,12148.605263157895,284.6842105263158,66.71052631578948,24.57894736842105
7,12188.391304347826,257.9130434782609,53.69565217391305,22.695652173913043
8,12170.470588235294,272.94117647058823,56.588235294117645,25.352941176470587
9,12207.774193548386,242.67741935483872,49.54838709677419,21.741935483870968
10,12270.52380952381,192.33333333333334,37.142857142857146,15.142857142857142
11,12255.285714285714,202.76190476190476,41.95238095238095,16.904761904761905
12,12274.92857142857,186.64285714285714,38.42857142857143,15.607142857142858
13,12256.827586206897,200.58620689655172,42.58620689655172,19.03448275862069
14,12266.07142857143,192.85714285714286,41.07142857142857,19.714285714285715
15,12291.291666666666,175.58333333333334,33.125,18.208333333333332
16,12318.85,153.85,27.3,15.55
17,12334.857142857143,140.07142857142858,25.071428571428573,13.071428571428571
18,12321.555555555555,149.5,28.944444444444443,14.722222222222221
19,12346.357142857143,130.5,23.142857142857142,11.142857142857142
20,12368.772727272728,113.4090909090909,17.818181818181817,7.7272727272727275
21,12351.461538461539,124.53846153846153,24.0,10.384615384615385
22,12354.133333333333,121.66666666666667,24.2,10.666666666666666
23,12365.78947368421,113.15789473684211,21.05263157894737,8.894736842105264
24,12394.384615384615,94.46153846153847,11.153846153846153,4.615384615384615
25,12379.0,104.0,17.0,7.384615384615385
26,12387.894736842105,98.42105263157895,13.68421052631579,5.947368421052632
27,12388.411764705883,96.6470588235294,14.941176470588236,5.882352941176471
28,12398.0,89.75,12.25,5.0
29,12398.615384615385,87.46153846153847,13.923076923076923,6.153846153846154
30,12408.5,84.28571428571429,7.214285714285714,3.4285714285714284
31,12400.666666666666,84.33333333333333,15.0,6.333333333333333
32,12407.09090909091,80.0,12.909090909090908,5.636363636363637
33,12414.0,79.625,6.375,2.625
34,12415.545454545454,76.9090909090909,7.545454545454546,2.909090909090909
35,12418.285714285714,70.71428571428571,11.0,4.285714285714286
36,12419.875,75.0,5.125,2.25
37,12423.142857142857,70.0,6.857142857142857,3.4285714285714284
38,12424.7,70.5,4.8,2.4
39,12422.8,74.93333333333334,2.2666666666666666,1.2
40,12428.0,66.5,5.5,3.0
41,12434.90909090909,58.09090909090909,7.0,3.8181818181818183
42,12425.0,72.64285714285714,2.357142857142857,1.2142857142857142
43,12438.714285714286,55.0,6.285714285714286,2.857142857142857
44,12433.764705882353,63.11764705882353,3.1176470588235294,1.4705882352941178
