,0
"(30.334997711084895, -97.80148202560268)",43
3708506173,43
"(30.22499770775364, -97.85135043622792)",50
2909295912,50
"(30.264992743397578, -97.72099056005244)",41
152444403,41
"(30.284984180898206, -97.58188508401408)",5
152635706,5
"(30.324998150666744, -97.6720670591842)",12
358578535,12
"(30.194999040272503, -97.75817033875516)",17
152518351,17
"(30.25495712747143, -97.77757247766397)",1
152502010,1
"(30.08498260085409, -97.59780471976426)",70
1838345752,70
"(30.274999439291147, -97.73087508001545)",14
1759328756,14
"(30.49499312617103, -97.68785028423729)",44
153073367,44
"(30.31499211453695, -97.79757251798574)",11
152612863,11
"(30.214995208339364, -97.85297794004258)",82
1769151655,82
"(30.344995740823016, -98.01557340341908)",190
3809334726,190
"(30.384992318873728, -97.75690743007924)",6
152538886,6
"(30.42499803277397, -98.01519999945364)",13
152399945,13
"(30.374995208764744, -97.79432250898144)",37
152483987,37
"(30.05494013673579, -97.8201645727113)",143
151417428,143
"(30.53499229771515, -97.77075995264727)",54
317033787,54
"(30.174992185210918, -97.61418814947157)",23
152694487,23
"(30.23499350621625, -97.85270513889401)",71
152582407,71
"(30.164999837188684, -97.77930678372721)",51
1905224475,51
"(30.204998834024796, -97.77478077320785)",56
1438973753,56
"(30.0349061612977, -97.74991142496862)",92
151538630,92
"(30.144986931290408, -97.80539203937572)",30
1271807331,30
"(30.24495605563493, -98.00232297568103)",35
152540193,35
"(30.48499755925074, -97.57170035713058)",19
1271798846,19
"(30.30499376441042, -97.95781887111603)",26
152487921,26
"(30.024976132683967, -97.84299262235992)",105
151464051,105
"(30.394997824740912, -97.73316178057217)",79
152479503,79
"(30.294988016877635, -97.79729801805982)",48
152575046,48
"(30.15499591922268, -97.83978761293898)",214
152429910,214
"(30.18498002547327, -97.80953454724064)",32
152700212,32
"(30.364996062792322, -97.94353983650704)",2
152661855,2
"(30.07499933655114, -97.81369935852567)",39
1177446344,39
"(30.504991227123504, -97.68031246864518)",76
2028835614,76
"(30.354995982588655, -97.54407990992182)",22
1897595374,22
"(30.51498414761348, -97.60154611309233)",36
152895909,36
"(30.014942143949312, -97.8117945554431)",29
151485749,29
"(30.474989105103038, -97.76877335119394)",34
29592810,34
"(29.994926233349762, -97.52247197861857)",58
149253902,58
"(30.00498613032735, -97.85693065292206)",68
151485521,68
"(30.104978111248595, -97.88130070466838)",111
151577198,111
"(30.40498842666512, -97.72263535858472)",33
1235384917,33
"(30.464997383075314, -97.84560441525282)",24
152718274,24
"(30.04492064369169, -97.8020207341686)",131
4621361232,131
"(30.13498802586436, -97.82602068371452)",127
152434632,127
"(30.414997420258526, -97.74058339509153)",151
152415292,151
"(30.43499703551905, -98.00395497274)",84
152463284,84
"(30.12494944429782, -97.42053989105429)",31
149188671,31
"(30.454989650137115, -97.95326245501545)",28
2131531397,28
"(30.57487614403115, -97.58788408400672)",7
152935699,7
"(30.09498955057237, -97.76206634916248)",55
1612901269,55
"(30.114983243523234, -97.428431805287)",217
149141058,217
"(30.584136079880366, -97.81254153857147)",62
153112372,62
"(30.064986224011296, -97.5244479810885)",16
149177241,16
"(30.44498814072719, -97.6570472247828)",3
152655035,3
"(30.59266059864054, -98.06657431336872)",27
152574652,27
"(30.55499306927996, -97.8584346390162)",15
152881605,15
"(30.52499909601643, -97.78038747331185)",0
152947349,0
"(30.544972113916902, -97.71057992797058)",40
152979223,40
"(29.973922257563785, -97.44399183567384)",188
149072130,188
"(29.96424317693106, -97.72616537701103)",132
150018897,132
"(30.564992682137184, -97.443642916949)",21
153015273,21
"(30.602747761911495, -97.5056660279064)",108
3770895141,108
"(29.981091128903053, -97.86919968003905)",162
151494518,162
"(30.575578321153877, -97.67201004873723)",89
1319413949,89
"(30.58413223578092, -97.61463033522983)",153
153122689,153
"(30.614908837325284, -97.94078731895962)",38
152720993,38
"(30.58660606673038, -97.85546563097263)",145
pt_5386,145
"(30.57663699242417, -97.77274315479372)",73
1336081731,73
"(29.98941307977485, -98.00896999637072)",25
151477079,25
"(29.957131458859507, -97.7859179012976)",160
151523601,160
"(30.57348222002542, -97.67696825875662)",89
345124325,89
"(30.57179441887303, -97.6818250685759)",432
345124395,432
"(30.570925318204466, -97.68458997417139)",432
345123809,432
"(30.5285389931126, -98.10126020052846)",128
149775912,128
"(30.63477214857414, -97.54249699486998)",57
153099017,57
"(30.57257802742488, -97.65052060616635)",251
152946055,251
"(30.5685358163548, -97.6922091896281)",49
345121975,49
"(30.56552910510395, -97.73319737325566)",121
152889357,121
"(29.92737022978179, -97.56473205892222)",117
150002681,117
"(29.99090492009224, -97.89226033073088)",356
151442033,356
"(29.967846191098143, -97.67872628081453)",66
150023638,66
"(29.986982360417493, -98.06317842469308)",467
151488604,467
"(29.994687549451847, -98.09081249124091)",467
151457312,467
"(30.569675189854173, -97.40958975624667)",316
152996165,316
"(30.576800059227256, -97.88350569291596)",291
152903849,291
"(30.570542189440236, -97.41084175841243)",316
153106964,316
"(30.57935918523192, -97.4235427804555)",316
152939064,316
"(29.942010346077296, -97.50078823922931)",231
149112977,231
"(29.992481139742363, -97.83253860023197)",314
151507253,314
"(29.96056125747401, -97.4506888478778)",188
149269333,188
"(30.00783626304375, -97.40691376932865)",78
149314363,78
"(29.966523202457104, -97.64152620692767)",499
150007502,499
"(30.430101729970684, -97.70112551378257)",294
1046551014,294
"(30.42883732989159, -97.70191401543146)",294
1046551020,294
"(30.1863758284641, -97.79949922585521)",32
1049207788,32
"(30.18321342429108, -97.81391965664591)",32
1049207793,32
"(30.182259824197644, -97.81455585802952)",32
1049207810,32
"(30.183677624500426, -97.81308995486161)",32
1049207828,32
"(30.188819528567706, -97.79828412321467)",279
1049207888,279
"(30.182355524881334, -97.81235325332152)",32
1049207973,32
"(30.183870424362528, -97.8134586556444)",32
1049207988,32
"(30.186074429029286, -97.79780132226047)",279
1049207992,279
"(30.18758792857021, -97.79872172417447)",279
1049208110,279
"(30.188718728164478, -97.79961002603076)",32
1049208117,32
"(30.186275828601932, -97.79909482499947)",32
1049208150,32
"(30.183343324763435, -97.81237465334237)",32
1049208170,32
"(30.18287482428966, -97.81404485692194)",32
1049208204,32
"(30.18428232470931, -97.8122110529694)",32
1049208210,32
"(30.533496959650233, -97.54771150955105)",83
1067095044,83
"(30.530325760168715, -97.5472174087641)",83
1067095048,83
"(30.5324994602957, -97.54570990582837)",83
1067095067,83
"(30.533044160251475, -97.5456230056402)",83
1067095068,83
"(30.532825960724672, -97.54391280243375)",83
1067095084,83
"(30.531172361878713, -97.54026609565906)",83
1067095092,83
"(30.525055360526654, -97.54832251108274)",83
1067095116,83
"(30.527244760859368, -97.54602310665486)",83
1067095278,83
"(30.527105561141937, -97.54500730475002)",83
1067095281,83
"(30.525609260973596, -97.54635450735206)",83
1067095603,83
"(30.525553561085463, -97.54595290659876)",83
1067095661,83
"(30.45917929329526, -97.81421474794)",326
1067189280,326
"(30.459906292935763, -97.81513414987396)",326
1067189285,326
"(30.45769289479673, -97.80979943857866)",326
1067189319,326
"(30.458178194543027, -97.81045963996604)",326
1067189329,326
"(30.458613394217743, -97.81137474189985)",326
1067189338,326
"(30.45880709388473, -97.81240424408897)",326
1067189347,326
"(30.45892729358808, -97.81334034608274)",326
1067189353,326
"(30.45767609693881, -97.8027044234758)",94
1067189361,94
"(30.4563400964934, -97.80467942773163)",94
1067189365,94
"(30.455882295833433, -97.80703713276901)",94
1067189374,94
"(30.456967195158192, -97.80887153663129)",94
1067189383,94
"(30.457902997440865, -97.80095171974283)",424
1067189439,424
"(30.457792797191253, -97.80182242159677)",94
1067189442,94
"(30.458083397630585, -97.80025381825344)",424
1067189456,424
"(30.46215759241484, -97.81602545168363)",326
1067194662,326
"(30.481671411808186, -97.74330449794864)",455
1068076887,455
"(30.481663712143785, -97.742154595573)",455
1068076932,455
"(30.48177191205439, -97.74241909611473)",455
1068076963,455
"(30.52802756091263, -97.54545130554374)",83
1068283759,83
"(30.498204052280396, -97.59174119492795)",219
1068429942,219
"(30.40463438140268, -97.87226457590369)",278
1069007144,278
"(30.404574381454324, -97.87212107559101)",278
1069007146,278
"(30.460424585386914, -97.8397159026994)",24
1069007775,24
"(30.455020995518396, -97.8083993357072)",94
1069007867,94
"(30.45479219563677, -97.80809223506249)",94
1069007892,94
"(30.45448469580553, -97.80764733412767)",94
1069007905,94
"(30.449598793750457, -97.8162368526669)",326
1069088417,326
"(30.45152019267782, -97.81906395863666)",326
1069088445,326
"(30.45103449375803, -97.81568445142538)",326
1069194970,326
"(30.450951293748602, -97.8157461515608)",326
1069194971,326
"(30.450255293788736, -97.81586955185391)",326
1069194978,326
"(30.45093919377865, -97.81565145135883)",326
1069194987,326
"(30.449147094396505, -97.8142734484885)",326
1069195000,326
"(30.448633994335548, -97.81466314934275)",326
1069195009,326
"(30.449863493977062, -97.81539285085107)",326
1069195026,326
"(30.452478993931816, -97.81458024900431)",326
1069195049,326
"(30.45240599390693, -97.8146892492403)",326
1069195072,326
"(30.452308493944685, -97.81460054905487)",326
1069195081,326
"(30.452389493968685, -97.81449154881851)",326
1069195089,326
"(30.472584385825293, -97.83389128959897)",409
1069288342,409
"(30.455881889551126, -97.82774227707522)",326
1069290932,326
"(30.45729808986128, -97.8262094737205)",326
1069290966,326
"(30.534882563136524, -97.88550139937833)",259
1069300919,259
"(30.53424476294601, -97.8863373012549)",259
1069300928,259
"(30.49747388227904, -97.83650379413447)",275
1069387432,275
"(30.538916259229904, -97.89666612390144)",352
1069596103,352
"(30.534248860237017, -97.89504502052851)",352
1069596150,352
"(30.540504358673733, -97.89790262657016)",165
1069596172,165
"(30.546003057368324, -97.90019563139883)",165
1069596196,165
"(30.53160216244844, -97.88885700694999)",352
1069596206,352
"(30.533559661539297, -97.89110171182361)",352
1069596211,352
"(30.541582158240036, -97.8989220287825)",165
1069596230,165
"(30.459467580223496, -97.85682403987882)",490
1069975184,490
"(30.460536883024222, -97.84736641926592)",24
1069979112,24
"(30.46047548298505, -97.84751561959229)",24
1069979118,24
"(30.460663482987275, -97.84744121942282)",24
1069979120,24
"(30.456685283243257, -97.84803092087226)",490
1069993764,490
"(30.456369983812763, -97.84629421711753)",24
1069993766,24
"(30.45388218304833, -97.84966312453543)",490
1069993768,490
"(30.454099483201453, -97.8490891232795)",490
1069993775,490
"(30.456023183320614, -97.84801622086849)",490
1069993780,490
"(30.456604583218613, -97.84813972111186)",490
1069993781,490
"(30.4559399836272, -97.84705061877662)",490
1069993786,490
"(30.453535283468586, -97.84842392185904)",490
1069993790,490
"(30.453105283305785, -97.84910522335653)",490
1069993792,490
"(30.456915682595803, -97.85004932524564)",490
1069993795,490
"(30.45691568244028, -97.85055362634141)",490
1069993796,490
"(30.4570081835906, -97.84678771816087)",24
1069993798,24
"(30.457291683212638, -97.84791382059231)",490
1069993799,490
"(30.457489082949493, -97.8486975222852)",490
1069993800,490
"(30.45504748292023, -97.84966312448603)",490
1069993807,490
"(30.456807683206023, -97.84810812103466)",490
1069993808,490
"(30.455387082828672, -97.84983892485346)",490
1069993830,490
"(30.455047482605824, -97.85068232670048)",490
