,0
0,37
1,248
2,248
3,30
4,30
5,9
6,9
7,37
8,37
9,73
10,73
11,105
12,105
13,173
14,173
15,37
16,37
17,9
18,9
19,103
20,103
21,37
22,42
23,24
24,24
25,42
26,37
27,0
28,0
29,37
30,37
31,87
32,87
33,87
34,87
35,87
36,87
37,207
38,207
39,108
40,108
41,37
42,37
43,206
44,206
45,126
46,126
47,121
48,121
49,37
50,37
51,99
52,99
53,179
54,179
55,19
56,19
57,61
58,61
59,37
60,42
61,131
62,131
63,48
64,48
65,180
66,180
67,104
68,104
69,42
70,37
71,156
72,156
73,65
74,65
75,134
76,134
77,37
78,37
79,246
80,246
81,128
82,128
83,37
84,37
85,131
86,131
87,37
88,37
89,116
90,116
91,0
92,0
93,116
94,116
95,37
96,19
97,0
98,0
99,19
100,42
101,192
102,192
103,136
104,136
105,103
106,103
107,42
108,37
109,246
110,246
111,37
112,37
113,100
114,100
115,9
116,9
117,207
118,207
119,37
120,37
121,248
122,248
123,117
124,117
125,134
126,134
127,37
128,42
129,24
130,24
131,192
132,192
133,9
134,9
135,9
136,9
137,2
138,2
139,2
140,2
141,78
142,78
143,78
144,78
145,113
146,113
147,42
148,37
149,149
150,149
151,28
152,28
153,87
154,87
155,37
156,37
157,156
158,156
159,244
160,244
161,117
162,117
163,37
164,37
165,210
166,210
167,34
168,34
169,34
170,34
171,221
172,221
173,37
174,37
175,77
176,77
177,4
178,4
179,9
180,9
181,37
182,37
183,9
184,9
185,37
186,42
187,0
188,0
189,199
190,199
191,42
192,37
193,248
194,248
195,65
196,65
197,248
198,248
199,205
200,205
201,10
202,10
203,37
204,37
205,61
206,61
207,37
208,42
209,34
210,34
211,248
212,248
213,59
214,59
215,242
216,242
217,42
218,37
219,71
220,71
221,37
222,42
223,144
224,144
225,219
226,219
227,126
228,126
229,42
230,42
231,248
232,248
233,0
234,0
235,49
236,49
237,42
238,42
239,144
240,144
241,9
242,9
243,219
244,219
245,42
246,37
247,66
248,66
249,103
250,103
251,30
252,30
253,37
254,42
255,150
256,150
257,202
258,202
259,135
260,135
261,42
262,37
263,201
264,201
265,237
266,237
267,37
268,42
269,200
270,200
271,103
272,103
273,169
274,169
275,103
276,103
277,42
278,37
279,9
280,9
281,37
282,37
283,131
284,131
285,28
286,28
287,219
288,219
289,37
290,37
291,71
292,71
293,14
294,14
295,128
296,128
297,37
298,59
299,169
300,169
301,202
302,202
303,169
304,169
305,59
306,42
307,122
308,122
309,42
310,227
311,19
312,19
313,227
314,59
315,160
316,160
317,100
318,100
319,178
320,178
321,59
322,81
323,175
324,175
325,179
326,179
327,207
328,207
329,179
330,179
331,81
332,81
333,117
334,117
335,81
336,97
337,68
338,68
339,68
340,68
341,171
342,171
343,2
344,2
345,121
346,121
347,97
348,97
349,219
350,219
351,97
352,42
353,160
354,160
355,179
356,179
357,42
358,97
359,97
360,97
361,225
362,225
363,225
364,225
365,4
366,4
367,4
368,4
369,116
370,116
