head,tail,origin_addr,dest_addr,distance,duration,traffic_duration,speed_mph,
1259,719,"['300 N Fredericksburg St, San Marcos, TX 78666, USA']","['115 E Hutchison St, San Marcos, TX 78666, USA']",77,28,28,6.292758621,1
719,1259,"['115 E Hutchison St, San Marcos, TX 78666, USA']","['300 N Fredericksburg St, San Marcos, TX 78666, USA']",77,39,41,4.345,1.051282051
1260,909,"['345 TX-82 Loop, San Marcos, TX 78666, USA']","['247 N LBJ Dr, San Marcos, TX 78666, USA']",377,157,146,6.078163265,0.929936306
909,1260,"['247 N LBJ Dr, San Marcos, TX 78666, USA']","['345 TX-82 Loop, San Marcos, TX 78666, USA']",130,54,45,6.697826087,0.833333333
1528,705,"['215-2 Feltner Alley, San Marcos, TX 78666, USA']","['508 W San Antonio St, San Marcos, TX 78666, USA']",287,42,42,15.81837209,1
705,1528,"['508 W San Antonio St, San Marcos, TX 78666, USA']","['215-2 Feltner Alley, San Marcos, TX 78666, USA']",287,40,36,18.38351351,0.9
1278,719,"['222 W Hutchison St, San Marcos, TX 78666, USA']","['115 E Hutchison St, San Marcos, TX 78666, USA']",126,24,20,14.22,0.833333333
719,1278,"['115 E Hutchison St, San Marcos, TX 78666, USA']","['222 W Hutchison St, San Marcos, TX 78666, USA']",126,26,30,9.632903226,1.153846154
1577,705,"['626 Martin Luther King Dr, San Marcos, TX 78666, USA']","['508 W San Antonio St, San Marcos, TX 78666, USA']",336,49,48,16.25142857,0.979591837
705,1577,"['508 W San Antonio St, San Marcos, TX 78666, USA']","['626 Martin Luther King Dr, San Marcos, TX 78666, USA']",336,52,51,15.31384615,0.980769231
1581,705,"['133 Blanco St, San Marcos, TX 78666, USA']","['508 W San Antonio St, San Marcos, TX 78666, USA']",250,41,41,14.10714286,1
705,1581,"['508 W San Antonio St, San Marcos, TX 78666, USA']","['133 Blanco St, San Marcos, TX 78666, USA']",250,40,39,14.8125,0.975
1632,910,"['501 S Guadalupe St, San Marcos, TX 78666, USA']","['414 S L B J Dr, San Marcos, TX 78666, USA']",72,16,16,10.03764706,1
910,1632,"['414 S L B J Dr, San Marcos, TX 78666, USA']","['501 S Guadalupe St, San Marcos, TX 78666, USA']",900,198,199,10.665,1.005050505
1655,704,"['200 Martin Luther King Dr, San Marcos, TX 78666, USA']","['133 W San Antonio St, San Marcos, TX 78666, USA']",219,51,50,10.17705882,0.980392157
704,1655,"['133 W San Antonio St, San Marcos, TX 78666, USA']","['200 Martin Luther King Dr, San Marcos, TX 78666, USA']",219,50,50,10.17705882,1
1652,908,"['111 E Martin Luther King Dr, San Marcos, TX 78666, USA']","['116 S L B J Dr, San Marcos, TX 78666, USA']",275,97,105,6.148584906,1.082474227
908,1652,"['116 S L B J Dr, San Marcos, TX 78666, USA']","['111 E Martin Luther King Dr, San Marcos, TX 78666, USA']",498,154,155,7.565769231,1.006493506
1664,704,"['205 W Hopkins St, San Marcos, TX 78666, USA']","['133 W San Antonio St, San Marcos, TX 78666, USA']",104,35,35,6.846666667,1
