,time,type,ID,hail_time,arrival_time,vehicle_time,origin,destination,oPUDO,dPUDO,route,VMT,origin_walk,dest_walk,total_walk
0,1900-01-01 00:00:00,Ride,1,1900-01-01 00:00:00,1900-01-05 09:05:00,4 days 09:05:00.000000000,365,1119,431,4646,"['431', '2634', '2626', '2661', '2660', '2657', '2658', '2662', '1790', '1791', '1795', '1797', '1798', '3697', '3662', '3663', '3741', '3730', '3728', '3734', '3752', '3731', '3522', '3521', '1738', '1739', '7347', '1792', '2682', '2684', '2675', '2677', '2679', '2680', '2681', '2611', '1154', '7348', '1153', '4651', '6648', '4652', '4657', '4757', '1064', '6108', '6109', '6110', '6107', '4661', '7101', '4674', '7013', '6105', '6625', '4675', '4634', '4629', '4645', '4646']",200481.60000000003,3590.4,15312.0,18902.4
1,1900-01-01 00:00:00,Ride,2,1900-01-01 00:00:00,1900-01-02 05:27:00,1 days 05:27:00.000000000,4746,4569,4744,4846,"['4744', '6692', '6604', '6127', '6112', '6113', '6129', '6115', '4567', '6367', '6545', '6546', '4568', '6547', '5017', '5007', '6365', '4941', '112', '7116', '4846']",51268.8,6441.6,5649.6,12091.2
2,1900-01-01 00:00:00,Ride,3,1900-01-01 00:00:00,1900-01-05 23:34:00,4 days 23:34:00.000000000,468,6366,7302,6366,"['7302', '1799', '3059', '3000', '7301', '2999', '3138', '470', '3141', '3140', '1779', '3123', '3147', '1735', '367', '2658', '2662', '1790', '1791', '1795', '1797', '1798', '3697', '3662', '3663', '3741', '3730', '3728', '3734', '3752', '3731', '3522', '3521', '1738', '1739', '7347', '1792', '2682', '2684', '2675', '2677', '2679', '2680', '2681', '2611', '1154', '7348', '1153', '4651', '6648', '4652', '4657', '4757', '4754', '4755', '4758', '4751', '7100', '4742', '6818', '4744', '6692', '6604', '6127', '6112', '6113', '6129', '6115', '4567', '6367', '6545', '6546', '4568', '6547', '5017', '5007', '6366']",188496.0,2428.8,0.0,2428.8
3,1900-01-01 00:00:00,Ride,4,1900-01-01 00:00:00,1900-01-01 00:00:00,0 days 00:00:00.000000000,4485,401,4485,4485,['4485'],0.0,0.0,5385.6,5385.6
4,1900-01-01 00:00:00,Arrival,4,1900-01-01 00:00:00,1900-01-01 00:00:00,0 days 00:00:00.000000000,4485,401,4485,4485,['4485'],0.0,0.0,5385.6,5385.6
5,1900-01-01 00:00:00,Ride,5,1900-01-01 00:00:00,1900-01-02 18:46:00,1 days 18:46:00.000000000,4845,4942,7453,5027,"['7453', '5372', '4845', '4844', '5913', '5248', '5247', '5261', '5246', '5241', '5234', '5233', '5163', '5164', '5165', '5162', '5158', '5154', '5193', '5204', '5205', '5191', '4940', '4942', '6581', '5027']",44510.4,5438.4,4382.4,9820.8
6,1900-01-01 00:00:00,Ride,6,1900-01-01 00:00:00,1900-01-01 21:49:00,0 days 21:49:00.000000000,3604,4382,3539,4414,"['3539', '4433', '4398', '4431', '4428', '4429', '4368', '239', '4378', '4443', '240', '4382', '4414']",14520.0,1425.6000000000001,580.8,2006.4
7,1900-01-01 00:00:00,Ride,7,1900-01-01 00:00:00,1900-01-06 06:56:00,5 days 06:56:00.000000000,2498,1060,2413,1059,"['2413', '2414', '2342', '2321', '7002', '2320', '2294', '2304', '2296', '2311', '2312', '2374', '2372', '2371', '6268', '6267', '6269', '2354', '2352', '2353', '2364', '2363', '6566', '2219', '2211', '2215', '7466', '2281', '2280', '6562', '6563', '6748', '2283', '6747', '2276', '6706', '2278', '2284', '2285', '7346', '2230', '6544', '2624', '2623', '2625', '1154', '7348', '1153', '4651', '6648', '4652', '4657', '4757', '4754', '4755', '4758', '4751', '7100', '4742', '6818', '4744', '6692', '6604', '6127', '6112', '6113', '6129', '6115', '4567', '6367', '6545', '6546', '4568', '6547', '5017', '5007', '1059']",218116.8,20856.0,5385.6,26241.6
8,1900-01-01 00:00:00,Ride,8,1900-01-01 00:00:00,1900-01-01 19:26:00,0 days 19:26:00.000000000,4032,3827,4041,331,"['4041', '4046', '4009', '4010', '4032', '3508', '3507', '3635', '3633', '3653', '3648', '3907', '3908', '3909', '3898', '3897', '3641', '3902', '3910', '3643', '3642', '3661', '331']",27455.999999999996,4382.4,1531.2,5913.599999999999
9,1900-01-01 00:00:00,Ride,9,1900-01-01 00:00:00,1900-01-01 05:09:00,0 days 05:09:00.000000000,3766,3788,3803,3792,"['3803', '3801', '3819', '3777', '3804', '3793', '3792']",3590.3999999999996,1848.0,15628.8,17476.8
