lat,long,weight
30.550045,-97.861763,37
30.595955,-97.873341,3
30.537706,-97.842574,51
30.531993,-97.967226,29
30.49655,-97.901257,173
30.460701,-97.882086,82
30.498174,-97.827879,111
30.434403,-98.083907,36
30.488843,-98.053644,29
30.405429,-97.968645,108
30.367501,-98.056627,7
30.421566,-97.941993,29
30.416288,-97.888347,30
30.449261,-97.839977,27
30.398674,-97.83899,69
30.33372,-98.076591,3
30.320471,-97.972406,83
30.349621,-98.009337,37
30.367501,-97.984566,95
30.382464,-97.926677,280
30.351176,-97.937276,1
30.373525,-97.86814,1
30.374974,-97.834683,41
30.351794,-97.845706,41
30.221922,-97.974997,35
30.292875,-97.964299,55
30.32358,-97.939978,13
30.343668,-97.905759,101
30.321831,-97.89921,25
30.653697,-97.705243,15
30.344763,-97.869942,69
30.332143,-97.858595,67
30.318718,-97.841425,43
30.30131,-97.832125,31
30.304379,-97.919182,139
30.298805,-97.888816,95
30.352597,-97.921387,174
30.308173,-97.871556,25
30.351189,-97.779089,35
30.384802,-97.744053,25
30.288711,-97.833651,81
30.286234,-97.902792,3
30.272366,-98.013199,3
30.286428,-97.879621,5
30.267169,-97.899068,1
30.287223,-97.86426,244
30.513457,-97.665825,230
30.308846,-97.703502,111
30.286457,-97.843688,49
30.279555,-97.836009,112
30.205053,-97.932402,23
30.273341,-97.873192,15
30.196482,-97.909655,229
30.172804,-97.901713,1
30.260857,-97.851746,47
30.259205,-97.829376,93
30.247459,-97.825581,219
30.235346,-97.819398,25
30.25396,-97.895281,23
30.24144,-97.879541,7
30.246756,-97.872037,225
30.245081,-97.858211,81
30.240247,-97.852166,107
30.267416,-97.928478,5
30.237106,-97.93101,19
30.244016,-97.915824,33
30.249879,-97.909155,91
30.238308,-97.892018,109
30.244942,-97.985156,21
30.250014,-97.943499,5
30.209143,-97.954558,18
30.21593,-97.947086,11
30.221875,-97.905353,41
30.210384,-97.884729,367
30.222138,-97.883969,84
30.22221,-97.928999,19
30.230631,-97.858915,21
30.229226,-97.850001,167
30.232836,-97.839501,195
30.224841,-97.835974,152
30.225853,-97.862221,55
30.217987,-97.865677,52
30.220626,-97.849136,146
30.214768,-97.858294,23
30.214574,-97.836175,92
30.206238,-97.845563,136
30.39592,-97.773059,17
30.20472,-97.872225,206
30.188692,-97.858353,111
30.194893,-97.937337,47
30.209985,-97.920445,37
30.191616,-97.895714,380
30.179056,-97.914187,24
30.183883,-97.890011,53
30.342242,-97.809077,96
30.166515,-97.868659,77
30.152804,-97.866404,5
30.204417,-97.829257,62
30.188004,-97.841393,71
30.17107,-97.842194,46
30.164297,-97.854535,113
30.133666,-97.842915,1
30.599148,-97.832171,4
30.579994,-97.799189,27
30.589421,-97.756155,9
30.614041,-97.692748,89
30.627603,-97.663039,32
30.575265,-97.671384,239
30.569989,-97.644672,1
30.522036,-97.803089,55
30.518674,-97.768768,54
30.527329,-97.737027,78
30.542739,-97.739952,57
30.540723,-97.693987,59
30.544608,-97.683218,5
30.550837,-97.664092,426
30.480535,-97.811989,35
30.471692,-97.806242,123
30.500992,-97.793977,131
30.483751,-97.758083,1
30.506262,-97.733466,22
30.516396,-97.710151,106
30.526432,-97.699474,29
30.529538,-97.693185,15
30.530948,-97.677935,104
30.537547,-97.657977,104
30.537873,-97.628339,90
30.525447,-97.687699,25
30.522907,-97.674702,27
30.527937,-97.660354,100
30.514658,-97.684306,13
30.517125,-97.675414,103
30.468471,-97.609093,89
30.51606,-97.649805,51
30.520364,-97.690696,33
30.510451,-97.681971,21
30.512392,-97.675429,61
30.516269,-97.659832,75
30.477235,-97.748408,1
30.499365,-97.699917,210
30.506831,-97.681264,27
30.489825,-97.687935,34
30.500887,-97.678514,65
30.503811,-97.668835,130
30.505463,-97.648706,47
30.512273,-97.621085,74
30.481309,-97.698393,1
30.482178,-97.683939,81
30.488674,-97.669035,107
30.492029,-97.631009,1
30.454371,-97.816014,31
30.460688,-97.804425,38
30.463568,-97.786828,195
30.469152,-97.769391,159
30.465101,-97.734708,1
30.473658,-97.703262,88
30.460659,-97.68639,90
30.453786,-97.671883,271
30.467254,-97.654187,147
30.460126,-97.635163,96
30.452107,-97.799555,54
30.443651,-97.78093,49
30.45527,-97.785175,76
30.458188,-97.771871,56
30.449527,-97.776564,33
30.452449,-97.763846,94
30.453141,-97.704426,5
30.446519,-97.76236,124
30.442063,-97.755978,93
30.442247,-97.731102,87
30.43446,-97.712671,23
30.444289,-97.681327,83
30.431584,-97.679807,28
30.43806,-97.654831,96
30.429712,-97.632319,31
30.446884,-97.613692,73
30.412276,-97.756928,73
30.440343,-97.825646,178
30.433092,-97.812579,234
30.426198,-97.80419,13
30.440545,-97.792283,47
30.430965,-97.790268,115
30.432578,-97.745077,369
30.419188,-97.836201,37
30.409079,-97.806945,1
30.418049,-97.785683,41
30.44012,-97.782925,45
30.427536,-97.772391,25
30.416096,-97.776502,85
30.421041,-97.757609,101
30.422727,-97.734935,50
30.421209,-97.724833,110
30.419626,-97.687169,59
30.474927,-97.628126,33
30.402543,-97.774264,27
30.393165,-97.763188,19
30.405087,-97.764003,1
30.40121,-97.75365,187
30.407812,-97.737938,125
30.416374,-97.713136,161
30.401368,-97.723123,291
30.400383,-97.71107,49
30.412333,-97.7016,179
30.406628,-97.684758,25
30.396503,-97.676128,29
30.402956,-97.652095,233
30.385822,-97.629909,17
30.398609,-97.616178,13
30.420193,-97.603293,19
30.396551,-97.82942,117
30.271191,-97.642884,121
30.395144,-97.78675,1
30.393237,-97.800872,33
30.391578,-97.752089,106
30.394219,-97.74096,51
30.38687,-97.738158,149
30.384116,-97.728635,275
30.379353,-97.722328,83
30.380339,-97.706944,23
30.395126,-97.69242,94
30.384254,-97.678624,35
30.380068,-97.668098,40
30.383394,-97.660601,91
30.373993,-97.650303,239
30.371901,-97.636824,141
30.357638,-97.621547,1
30.347504,-97.604697,5
30.360871,-97.581717,3
30.369183,-97.77245,98
30.383082,-97.754946,68
30.370937,-97.748874,225
30.372799,-97.738426,17
30.368742,-97.732737,109
30.365825,-97.723827,183
30.367008,-97.712527,36
30.374445,-97.714456,147
30.362717,-97.703016,43
30.365978,-97.701017,2
30.374479,-97.696226,108
30.368666,-97.687912,156
30.362402,-97.676517,5
30.35801,-97.662114,13
30.340503,-97.634953,1
30.335824,-97.616902,25
30.3645,-97.740699,21
30.361619,-97.735446,127
30.357612,-97.724918,86
30.355442,-97.7182,70
30.356542,-97.710188,89
30.354451,-97.69626,153
30.348438,-97.685483,276
30.338319,-97.690935,105
30.337807,-97.664499,67
30.333871,-97.675748,202
30.333513,-97.647877,11
30.361286,-97.757804,72
30.35516,-97.743801,3
30.350866,-97.738792,5
30.355362,-97.734401,59
30.351559,-97.727219,33
30.346115,-97.729428,50
30.348204,-97.718429,47
30.342425,-97.721317,45
30.340669,-97.709102,59
30.33247,-97.696583,20
30.32667,-97.685099,80
30.324017,-97.664095,66
30.32257,-97.651571,13
30.3202,-97.639453,1
30.325044,-97.617448,11
30.327527,-97.57601,1
30.34417,-97.558384,102
30.347874,-97.76121,66
30.341089,-97.750211,64
30.34102,-97.742547,72
30.337612,-97.733307,56
30.334246,-97.725896,36
30.328946,-97.720367,219
30.329197,-97.711138,67
30.324755,-97.698623,93
30.308832,-97.854872,15
30.353876,-97.789916,43
30.338864,-97.78138,19
30.333799,-97.76676,53
30.331953,-97.759891,123
30.332227,-97.751829,3
30.330139,-97.742742,11
30.330061,-97.735351,73
30.325264,-97.730682,53
30.320679,-97.720953,88
30.316483,-97.711051,133
30.318649,-97.702866,60
30.316705,-97.693892,59
30.316931,-97.684863,29
30.307248,-97.690083,156
30.316758,-97.672491,26
30.310034,-97.680821,58
30.300761,-97.67833,173
30.303255,-97.666683,27
30.311495,-97.65656,87
30.295066,-97.655743,6
30.305169,-97.6301,106
30.28759,-97.640662,96
30.296238,-97.606829,5
30.35485,-97.821754,52
30.339491,-97.799011,159
30.344399,-97.79414,41
30.334694,-97.786917,19
30.330049,-97.804386,21
30.32969,-97.794461,5
30.323452,-97.784862,9
30.322771,-97.790383,7
30.309286,-97.779878,3
30.319513,-97.773295,93
30.316399,-97.76201,13
30.322827,-97.748686,13
30.318928,-97.741563,44
30.318134,-97.735161,167
30.312636,-97.726851,15
30.309394,-97.719694,9
30.308606,-97.713911,25
30.291673,-97.694168,5
30.289535,-97.685312,27
30.289232,-97.674631,41
30.325211,-97.753043,9
30.312346,-97.755063,89
30.314377,-97.750453,11
30.311422,-97.745119,165
30.314075,-97.73437,165
30.307788,-97.737685,6
30.304357,-97.731148,162
30.299796,-97.723839,56
30.29537,-97.712677,59
30.320631,-97.809788,20
30.312617,-97.819504,5
30.309044,-97.806541,11
30.321536,-97.80207,5
30.316334,-97.798815,17
30.30976,-97.788871,16
30.306907,-97.770739,146
30.306124,-97.760175,193
30.304992,-97.756618,45
30.303114,-97.751664,11
30.302486,-97.747239,88
30.299443,-97.742797,109
30.29791,-97.735674,158
30.293084,-97.731181,75
30.292608,-97.727363,103
30.289092,-97.719395,87
30.287942,-97.71165,41
30.285307,-97.701787,11
30.297498,-97.777043,56
30.291148,-97.765987,15
30.296874,-97.762541,27
30.294723,-97.754442,19
30.291274,-97.745937,55
30.285813,-97.759194,81
30.285682,-97.747977,121
30.284903,-97.743151,154
30.290562,-97.742966,31
30.291737,-97.738284,128
30.285008,-97.735154,454
30.286926,-97.730248,188
30.302516,-97.818543,19
30.290736,-97.81223,48
30.300199,-97.799899,5
30.282386,-97.785116,27
